,Miles de euros
,2023
Ingresos financieros:,
De valores negociables y otros instrumentos financieros,
- De empresas del grupo y asociadas (Nota 31.f),911 512
- De terceros,
,1.423
Gastos financieros:,(2.205)
Por deudas con terceros,
,(2.205)
Variación en el valor razonable de instrumentos financieros:,
Derivados,28
,28
Diferencias de cambio:,
Diferencias de cambio,(104)
,(104)
Deterioro y resultado por enajenaciones de instrumentos financieros:,
Resultados por enajenaciones y otras,1.097
,1.097
,
Resultado financiero,239
