,,,Miles de euros,,,,,
,,,2018,,,2017,,
,,,,2018,,,2017,
,Balance at beginning of the year,,,"6,000",,,916,
,(Charged)/credited to profit and loss,,"2,622",,,"4,945",,
,Charged directly to equity,,,120,,,139,
,Balance at end of the year,,"8,742",,,"6,000",,
