,,,Thousands of,,,
,,,euros,,Years,
,,,Face,Initial fair,Repayment,Grace
Company,Entity,Project,value,value,period,period
Lab. Farm. Rovi,Industrial Technological Development Centre,(1),68,57,9,4
Lab. Farm. Rovi,Technological Corporation of Andalusia,(1),58,50,12,3
Lab. Farm. Rovi,Technological Corporation of Andalusia,(1),127,110,12,3
Lab. Farm. Rovi,Industrial Technological Development Centre,(1),648,582,10,3
Lab. Farm. Rovi,Industrial Technological Development Centre,(1),354,302,10,3
Lab. Farm. Rovi,Industrial Technological Development Centre,(1),175,156,10,3
,,,,,,
,,,"1,430","1,257",,
