WORK ACCIDENT SEVERITY INDEX (*) BY GENDER,,,2020,,,2019,,,
,,,,,,,,,Annual
,,,,,,,,,variation
,,,,,,,,,
,Men,,,0.039,,,0.604,,-94%
,Women,,,0.290,,,0.405,,-28%
,TOTAL,,,0.171,,,0.503,,-66%
