"Technical facilities, Furniture, Land and machinery fittings and IT equipment buildings and tools other and vehicles",,Total
"Balances at 01.01.18 Cost 34,296 168,410 3,236 13,721 - 219,663 Accumulated amortisation (17,900) (98,178) (2,442) (12,087) - (130,607) Net carrying amount 01.01.18 16,396 70,232 794 1,634 - 89,056 Additions - 15,510 61 819 - 16,390 Retirements - (65) - - - (65) Eliminations from amortisation - 3 - - - 3 Amortisation charge (229) (8,250) (125) (943) - (9,547)",,
,,
"Cost 34,296 183,855 3,297 14,540 - 235,988 Accumulated amortisation (18,129) (106,425) (2,567) (13,030) - (140,151)",,
,"16,167 77,430 730 1,510 - 95,837",
"Additions 1,043 23,999 129 728 - 25,899",,
,"- - - - 24,234 24,234",
"Retirements - (444) (24) (2) - (470) Eliminations from amortisation - 444 24 - - 468 Amortisation charge (228) (9,585) (109) (843) (3,595) (14,360)",,
,,
"Cost 35,339 207,410 3,402 15,266 24,234 285,651 Accumulated Amortisation (18,357) (115,566) (2,652) (13,873) (3,595) (154,043)",,
,"16,982 91,844 750 1,393 20,639 131,608",
