2023,2022 2021
Hombres Mujeres Total,Hombres Mujeres Total Hombres Mujeres Total
1 6 7,1 6 7 1 5 6
40 54 94,53 70 123 62 60 122
180 209 389,185 197 382 144 151 295
159 135 294,164 125 289 145 122 267
375 386 761,323 335 658 287 297 584
102 146 248,103 134 237 98 128 226
56 118 174,64 121 185 64 124 188
1 1 2,3 1 4 3 1 4
15 7 22,12 5 17 12 5 17
47 73 120,35 56 91 18 24 42
976 1.135 2.111,943 1.050 1.993 834 917 1.751
