,Thousand euros,
,2021,2020
Payments for investments:,,
- Intangible assets (Note 5),(319),(159)
"- Property, plant and equipment (Note 6)","(6,715)","(10,915)"
,"(7,034)","(11,074)"
Amounts received for disinvestments:,,
- Group and associated companies (Note 8),"(1,775)",144
"- Property, plant and equipment (Note 6)",41,20
- Other assets (Note 24),514,649
,"(1,220)",813
Cash flows generated (used) in investing activities,"(8,254)","(10,261)"
