,2023 2022
Deuda financiera (Nota 18),65.427 72.166 (25.322) (124.945) (24) (9) (1.440) (1.416)
Menos: Efectivo y equivalentes al efectivo (Nota 14),
Menos: Valores de renta variable (Nota 11),
Menos: Depósitos (Notas 9 y 13),
Deuda/(Caja) neta,38.641 (54.204)
Patrimonio neto,543.494 521.379
Índice de apalancamiento,"7,1 % -10,4 %"
