,Thousand euros,
,2021,2020
Beginning of the year (net of tax),"2,406","2,750"
Increases (net of tax),267,128
Decreases (net of tax),432,386
Allocation to profit and loss (net of tax),(994),(858)
End of the year (net of tax),"2,111","2,406"
