,,Proyecto,Miles euros,,Años
Sociedad Organismo,,,Valor Periodo Importe razonable Plazo de de nominal inicial amortización carencia,,
ROVI Corporación Tecnológica de Andalucía ROVI Corporación Tecnológica de Andalucía ROVI Corporación Tecnológica de Andalucía ROVI Corporación Tecnológica de Andalucía ROVI Corporación Tecnológica de Andalucía ROVI Corporación Tecnológica de Andalucía ROVI Centro para el Desarrollo Tecnológico Industrial ROVI Centro para el Desarrollo Tecnológico Industrial ROVI Centro para el Desarrollo Tecnológico Industrial ROVI Centro para el Desarrollo Tecnológico Industrial,,(1) (1) (1) (1) (1) (1) (1) (1) (1) (2),77 65 12 3 361 319 12 3 37 31 12 3 47 40 12 3,,
,,,105 91,,13 4
,,,43 36 15 6,,
,,,182 154,,14 3
,,,300 271 12 4 219 197 11 4,,
,,,28,24 12 4,
,,,1.399 1.228,,
