Miles de euros 2016 2015,
Activos por impuestos diferidos: - No corrientes - Corrientes Pasivos por impuestos diferidos: - No corrientes - Corrientes Impuestos diferidos netos,1.024 1.062 2.583 1.500
,3.607 2.562
,(2.278) (1.640) (1.050) (922)
,(3.328) (2.562)
,279 -
