Al 31 de diciembre de 2025,Menos de un año,Entre 1 y 2 años,Entre 2 y 5 años,Más de 5 años
Deudas con entidades de crédito (Nota 18),21.963 1.752 81.844 6.891,22.996 49.416 4.643 1.403 4.043 3.844,,
Deudas con organismos oficiales (Nota 18),,,,
Proveedores (Nota 17),,— — —,,
Pasivos financieros por arrendamiento (Nota 18),,5.898 3.566,,252
Otras cuentas a pagar (Nota 17),36.715,— — —,,
,149.165 30.297 57.025 8.739,,,
