Comisión de Auditoría,,
Nombre,Cargo,Categoría
DON MARCOS PEÑA PINTO,PRESIDENTE,Independiente
DOÑA FÁTIMA BÁÑEZ GARCÍA,VOCAL,Independiente
DON JOSÉ FERNANDO DE ALMANSA MORENO- BARREDA,VOCAL,Independiente
