,2023 2022
Saldo inicio del ejercicio,644.114 1.218.776
Acciones adquiridas en contrato de liquidez (a.1) Acciones vendidas en contrato de liquidez (a.1) Acciones adquiridas en Programas de recompra (a.2) Acciones para reducción de capital en Programas de recompra (a.2),1.315.909 1.609.715 (1.312.404) (1.598.794) 1.548.392 1.467.225 — (2.052.808)
Saldo final del ejercicio,2.196.011 644.114
