,Licencias de Otros distribución contratos Total
Al 1 de enero de 2024,1.755 38.720 40.475
Altas Imputación a la cuenta de resultados,793 66.274 67.067 (365) (100.555) (100.920)
Al 31 de diciembre de 2024,2.183 4.439 6.622
Altas Imputación a la cuenta de resultados,630 61.560 62.190 (561) (62.193) (62.754)
Al 31 de diciembre de 2025,2.252 3.806 6.058
