"2020 2019 Profit before tax 72,581 41,880 Tax calculated at domestic tax rate of 25% (18,145) (10,471)",
Share of profit of joint venture,(8) (49)
,"- 5,437"
,198 (140)
,(675) (112)
,(91) 86
"R&D tax credits used 8,263 4,174 Movement on capitalised R&D tax credits (1,066) (1,680) Otras deducciones aplicadas - 148 Income tax expense (11,524) (2,607)",
