,Nota,A 31 de diciembre de,
,,2024,2023
PATRIMONIO NETO Patrimonio neto atribuido a la Sociedad dominante Capital social Prima de emisión Reserva legal Acciones propias Resultados de ejercicios anteriores y reservas voluntarias Resultado del ejercicio Otro resultado global acumulado Participaciones no dominantes Total patrimonio neto PASIVO Pasivos no corrientes Deuda financiera Pasivos por impuestos diferidos Pasivos contractuales Ingresos diferidos Pasivos corrientes Deuda financiera Proveedores y otras cuentas a pagar Pasivos por impuesto corriente Pasivos contractuales Ingresos diferidos,15 15 16 16 16 16 16 16 18 19 20 21 18 17 27 20 21,572.028 3.074 87.636 673 (5.545) 349.332 136.881 (23) 9.512,539.387 3.241 87.636 673 (107.676) 385.199 170.335 (21) 4.107
,,581.540,543.494
,,90.719 366 1.819 927,52.242 1.515 1.431 1.359
,,93.831,56.547
,,23.691 125.328 2.384 4.803 445,13.185 141.895 5.255 39.044 464
,,156.651,199.843
Total pasivo,,250.482,256.390
Total patrimonio neto y pasivo,,832.022,799.884
