,30 June 2024,31 December 2023
Contribution to the public health system and other rebates,"14,120 15,107 1,464 1,644 929 1,528",
Returns,,
Other trading transactions,,
Dividend payable (Note 24),"59,617 —",
,"76,130 18,279",
