No corrientes,2025 2024
Préstamos de entidades de crédito,74.585 70.659 9.291 9.844 9.328 10.216
Deudas con organismos oficiales,
Pasivos financieros por arrendamiento,
,93.204 90.719
Corrientes,
Préstamos de entidades de crédito,20.409 16.280 1.752 1.562 6.359 5.849 97 —
Deudas con organismos oficiales,
Pasivos financieros por arrendamiento,
Instrumentos financieros derivados,
,28.617 23.691
,121.821 114.410
