,Fabricación,Comercialización,Otros,Total agregado,Operaciones Inter- segmentos,Total Consolidado
Total ingresos segmento,494.126,473.885,99,968.110,(224.627),743.483
,,,,,,
Beneficio/(pérdida),157.110 19.911,,(1.233),175.788 (35.424) 140.364,,
Impuesto de sociedades,39.622 3.479 (182) 42.919 (20) 42.899,,,,,
Rtdo. antes de imptos.,196.732 23.390 (1.415) 218.707 (35.444) 183.263,,,,,
Resultado financiero,(697) (23.405) 21.027 9.394,,(307) 137,(24.409) 26.990 2.581 30.558 (184) 30.374,,
Amortización,,,,,,
EBITDA (*),217.062 9.379,,(1.585) 224.856 (8.638) 216.218,,,
,,,,,,
Amortización,(21.027) (9.394),,(137),(30.558) 184 (30.374),,
EBIT (**),196.035 (15) (1.722) 194.298 (8.454) 185.844,,,,,
