Activos totales,2023 2022
España,740.727 816.048 4.737 5.234 27.278 31.278 15.537 16.916 5.660 2.388 5.438 6.199
Portugal,
Alemania,
Italia,
UK,
Francia,
Suiza,229 262
Polonia,278 378
,799.884 878.703
