Non-current,,,2018,2017
Bank borrowings,,,"7,113","17,716"
Debt with government entities,,,"9,476","9,313"
,,,"16,589","27,029"
Current,,,,
Bank borrowings,,,"15,603","13,222"
Debt with government entities,,,"2,032","2,986"
,,,"17,635","16,208"
,,,"34,224","43,237"
