Awarding entity,Thousa nd euros,Purpose,Date awarded
(1) Andalusian Autonomous Govt.,859 362 151,Construction of Granada plant (Note 6.d),2008
(2) Andalusian Autonomous Govt.,,Construction bemiparin lines in Granada,2012 & 2014
Miscellaneous govt. entities,,Miscellaneous projects,2001 onward
,"1,372",,
