,Manufacturing Marketing Other,,,Aggregated total
Total assets,"821,480 522,684 969 1,345,133",,,
Of which: Investments in group companies Increases in non-current non-financial assets,,,,
,—,"29,104",— —,"29,104 20,154"
,"19,388 766",,,
,,,,
Total liabilities,"(301,883) (515,311)",,(624),"(817,818)"
