Efectivo y equivalentes de efectivo,Rating,2024 2023,
,A+,2.016 1.307 10.372 16.381 13.758 226 — 20 487 2.268 553 5.120,
,A,,
,A-,,
,BBB+,,
,BBB,,
,Sin rating,,
,Total efectivo y equivalentes al efectivo (Nota 14),27.186 25.322,
,,,
Cuentas financieras a cobrar,Rating,2024,2023
,A,65 65,
,Total cuentas financieras a cobrar (Nota 13),65 65,
,,,
Valores de renta variable,Rating,2024 2023,
,Sin rating,—,24
,Total valores de renta variable (Nota 11),— 24,
,,,
Clientes,Rating,2024 2023,
,AA,1.121 979 2.582 330 16.539 16.223 94.934 107.536,
,A1,,
,Centros e instituciones públicas (Nota 13),,
,"Otros (mayoristas, farmacias, sanatorios)",,
,Total clientes (Nota 13),115.176 125.068,
,,2024 2023,
Otros Depósitos,Rating,,
,A+,1.327,1.327
,Sin rating,603 113,
,Total otros depósitos (Nota 13),1.930 1.440,
