,,Rating 2018,Balance 2018,,Rating 2017,Balance 2017
,,,,,,
Portugal,,BBB,"1,134",,BBB-,"1,720"
Madrid,,BBB,"1,278",,BBB+,827
Catalonia,,BBB-,590,,B+,849
Andalusia,,BBB-,587,,BBB+,408
Valencia,,BBB-,554,,BB,488
Canary Islands,,BBB-,332,,BBB+,173
Castilla La Mancha,,BBB-,268,,BBB-,126
Basque Country,,BBB+,208,,A,243
Extremadura,,BBB,130,,BBB,84
Cantabria,,BBB,114,,BBB,138
Aragón,,BBB,93,,BBB-,160
Other,,-,367,,-,382
,,,"5,655",,,"5,598"
