Total
"5,38"
"2.163,08"
"208,94"
"0,09"
"837,04"
"15,77"
"2,86"
"0,03"
"3,00"
"73,00"
"14,21"
"388,73"
"59,80"
"398,90"
"0,03"
"35,72"
"23,70"
"5.225,74"
