Thousands of euros,
"Payments for investments: - Group and associated companies (Note 8) - Intangible assets (Note 5) - Property, plant and equipment (Note 6) Amounts received from disinvestments: - Group and associated companies (Note 8) - Property, plant and equipment (Note 6) - Other assets (Note 24.a) Cash flows from investing activities",2017 2016
,"(5) (228) (5,194) (7,955) (6,560) (2,339)"
,"(11,759) (10,522)"
,"(450) 1,000 25 25 377 700"
,"(48) 1,725"
,"(11,807) (8,797)"
