2024,,,,,,
Entidad Nominal Tipo interés,BEI BEI BEI Santander BBVA Pólizas,,,,,
,5.000 40.000 10.000 25.000 25.000 de,,,,,
,"Eur3+0,844% 0,681% Fijo Eur3+0,655% 3,03% Fijo 3,49% Fijo crédito",,,,,
,,,,,,
2025 2026 2027 2028 2029,739 5.737 75 4.791 4.752 186 16.280,,,,,
,714 5.714,,—,4.922 4.908,— — — —,16.258 17.651 18.165
,714 5.714 1.071 5.071 5.081 536 5.714 1.429 5.225 5.261 — 5.714 1.429 2.669 2.702,,,,,
,,,,,,12.514 6.071
2030 en adelante,—,—,6.071,— — —,,
,2.703 28.593 10.075 22.678 22.704 186 86.939,,,,,
No corrientes Corrientes,1.964 22.856 10.000 17.887 17.952,,,,—,70.659
,739 5.737 75 4.791 4.752 186 16.280,,,,,
