,Thousand euros,,
,Equity instruments,,Credits and other financial assets
,2024 2023,,2024 2023
,,,
Financial assets at amortised cost (Nota 10),—,,
Non-current,—,,
,,,
Financial assets at amortised cost (Note 10),— —,,
Cash and cash equivalents (Note 13),,,
Current,—,,
TOTAL,,,
,—,,
