2025,,,,,,TOTAL
Entidad Nominal Tipo interés,BEI BEI BEI Santander BBVA,,,,,
,5.000 40.000 10.000 25.000 46.521,,,,,
,"Eur3+0,844% 0,681% Fijo Eur3+0,655% 3,03% Fijo 2,75% Fijo",,,,,
,,,,,,
2026 2027 2028 2029,727 5.733 52 4.930,,,,8.967,20.409
,714 5.714 1.071 5.071 9.171 21.741 536 5.714 1.429 5.225 9.426 22.330 — 5.714 1.429 2.669 9.687 19.499,,,,,
2030 2031 en adelante,— — 1.429 — 4.944,,,,,6.373 4.642
,—,—,4.642,—,—,
No corrientes Corrientes,1.977 22.875 10.052 17.895 42.195 94.994,,,,,
,1.250 17.142 10.000 12.965 33.228 74.585,,,,,
,727 5.733 52 4.930 8.967 20.409,,,,,
