Al 31 de diciembre de 2022,Menos de un año,Entre 1 y 2 años,Entre 2 y 5 años,Más de 5 años
Deudas con entidades de crédito (Nota 18),6.686 13.256 19.414 5.739 1.810 3.305 4.088 1.690,,,
Deudas con organismos oficiales (Nota 18),,,,
Proveedores (Nota 17),128.484,— — —,,
Pasivos financieros por arrendamiento (Nota 18),4.875 6.289 7.910,,,—
Otras cuentas a pagar (Nota 17),37.292,— — —,,
,179.147 22.850 31.412 7.429,,,
