organized_path,original_archive_member,original_relative_path,category,subcategory,size_bytes
02_NON_INDIAN_COMPANIES/Shanghai_Fosun_Pharma/01_FINANCIAL_DATA/Annual/12b68ee474158ed7__Shanghai Fosun Pharma_Balance_Sheet_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/12b68ee474158ed7__Shanghai Fosun Pharma_Balance_Sheet_Years.csv,01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/12b68ee474158ed7__Shanghai Fosun Pharma_Balance_Sheet_Years.csv,01_FINANCIAL_DATA,Annual,14671
02_NON_INDIAN_COMPANIES/Shanghai_Fosun_Pharma/01_FINANCIAL_DATA/Annual/66e555116ce51952__Shanghai Fosun Pharma_Income_Statement_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/66e555116ce51952__Shanghai Fosun Pharma_Income_Statement_Years.csv,01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/66e555116ce51952__Shanghai Fosun Pharma_Income_Statement_Years.csv,01_FINANCIAL_DATA,Annual,7766
02_NON_INDIAN_COMPANIES/Shanghai_Fosun_Pharma/01_FINANCIAL_DATA/Annual/9a82ef538932db86__Shanghai Fosun Pharma_Cash_Flow_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/9a82ef538932db86__Shanghai Fosun Pharma_Cash_Flow_Years.csv,01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/9a82ef538932db86__Shanghai Fosun Pharma_Cash_Flow_Years.csv,01_FINANCIAL_DATA,Annual,11987
02_NON_INDIAN_COMPANIES/Shanghai_Fosun_Pharma/01_FINANCIAL_DATA/Annual/Shanghai Fosun Pharma_Balance_Sheet_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/Shanghai Fosun Pharma_Balance_Sheet_Years.csv,01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/Shanghai Fosun Pharma_Balance_Sheet_Years.csv,01_FINANCIAL_DATA,Annual,14671
02_NON_INDIAN_COMPANIES/Shanghai_Fosun_Pharma/01_FINANCIAL_DATA/Annual/Shanghai Fosun Pharma_Cash_Flow_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/Shanghai Fosun Pharma_Cash_Flow_Years.csv,01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/Shanghai Fosun Pharma_Cash_Flow_Years.csv,01_FINANCIAL_DATA,Annual,11987
02_NON_INDIAN_COMPANIES/Shanghai_Fosun_Pharma/01_FINANCIAL_DATA/Annual/Shanghai Fosun Pharma_Income_Statement_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/Shanghai Fosun Pharma_Income_Statement_Years.csv,01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/Shanghai Fosun Pharma_Income_Statement_Years.csv,01_FINANCIAL_DATA,Annual,7766
02_NON_INDIAN_COMPANIES/Shanghai_Fosun_Pharma/01_FINANCIAL_DATA/Interim/Shanghai Fosun Pharma_Cash_Flow_YTD.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/Shanghai Fosun Pharma_Cash_Flow_YTD.csv,01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/Shanghai Fosun Pharma_Cash_Flow_YTD.csv,01_FINANCIAL_DATA,Interim,24858
02_NON_INDIAN_COMPANIES/Shanghai_Fosun_Pharma/01_FINANCIAL_DATA/Interim/a65bb6eef2b6951b__Shanghai Fosun Pharma_Cash_Flow_YTD.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/a65bb6eef2b6951b__Shanghai Fosun Pharma_Cash_Flow_YTD.csv,01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/a65bb6eef2b6951b__Shanghai Fosun Pharma_Cash_Flow_YTD.csv,01_FINANCIAL_DATA,Interim,24858
02_NON_INDIAN_COMPANIES/Shanghai_Fosun_Pharma/01_FINANCIAL_DATA/Other/6cf7d5004cfd9a99__25Entities_Report_08-16-2026105310760.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/6cf7d5004cfd9a99__25Entities_Report_08-16-2026105310760.xlsx,01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/6cf7d5004cfd9a99__25Entities_Report_08-16-2026105310760.xlsx,01_FINANCIAL_DATA,Other,110427
02_NON_INDIAN_COMPANIES/Shanghai_Fosun_Pharma/01_FINANCIAL_DATA/Other/ae2fd4a437eeb82d__0059_Shanghai Fosun Pharma.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/ae2fd4a437eeb82d__0059_Shanghai Fosun Pharma.xlsx,01_EVIDENCE/Non-Indian/Shanghai_Fosun_Pharma/ae2fd4a437eeb82d__0059_Shanghai Fosun Pharma.xlsx,01_FINANCIAL_DATA,Other,178675
