"Ad hoc with pre- liminary numbers for fiscal year 2025 on April 15,",,2025
2026,Reason,actual
approx.,Longer negotiations re-,44.5
45.0,garding the conclusion,
,of further commerciali-,
,zation and development,
,"partnerships, as well as",
,postponement of antici-,
,pated milestone,
,achievements and a,
,weaker-than-expected,
,contribution from licens-,
,ing revenue derived,
,from product sales for,
,FYB202,
approx. -4.0,Intensive cost manage-,-3.6
,"ment, higher capitalized",
,development costs and,
,development costs to,
,be incurred at a later,
,point in time,
approx. -2.0,Upfront payments from,-2.3
,partnerships with,
,FYB201/Nufymco led to,
,improved equity-,
,method earnings,
approx.,Proceeds of €70.0 mil-,70.1
70.0,lion from a corporate,
,"bond, as well as ad-",
,vance payments under,
,the first commercializa-,
,tion partnerships for,
,FYB206,
