Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Millions,Thousands,Thousands,Thousands,Millions,Thousands,Thousands,Thousands,Millions,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Capital Work in Progress,,,,10831,,,,15582,,,,20597,22721,23300000,5327,6131,5736,7114,7789,8467,12869,17339,15765,19141,22535,27879,34203,22746,25875,,39852,,41017,46508,46127
Non Current Assets Property Plant and Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88646,
Capital Assets Work in Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32600,,43542,,,
Investments in Associates and a Joint Venture,,,,,,,,384,,,,259,421,430000,422,463,522,584,638,634,431,258,142,,1795,771,80,975,1378,1550,,,,,
Non-current Investments,650000,645700,650000,645,650000,645400,650000,,,,,,,,1458,1458,,,,4124,1394,4023,943,1122,5637,3416,3622,2559,6045,881,,12527,,8309,
Iinvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6841,,6797,,10893
Deferred Tax Asset-net,,,,,,47600,100000,320,,,,715,653,700000,1975,1943,1987,1888,1934,3835,3247,3080,3680,3680,3077,2922,2933,3051,3010,3789,3173,2214,2577,2964,5556
Derivatives Assets,,,,,,,,874,,,,614,,,1092,1127,1220,1424,1109,609,710,591,257,421,656,1006,1468,1753,1454,2223,,1709,1874,924,430
Ii Derivative assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2657,,,,
"Income Tax Assets, Net",,,,,,,,890,,,,852,883,910000,895,927,1013,1154,1273,1350,1693,1690,2417,2741,2648,2866,3135,3687,3543,2923,4129,4577,3706,3727,4296
Long-term Loans and Advances,2750000,3032700,2740000,2693,2680000,2988800,3250000,,3830000,3916200,3680000,,304,300000,,,,,,,,,,,,,,,,,,,,,
Goodwill,120000,121600,120000,,120000,1785100,1790000,264,260000,263500,340000,264,264,260000,264,264,264,264,264,264,264,264,264,264,264,264,264,264,161362,163339,163724,164673,167857,174600,183775
Other Intangible Assets,,,,,,,,228,,,,408,492,460000,458,434,407,426,434,653,1919,2079,4232,5684,6269,6399,5986,5743,57964,64730,62786,60244,58652,,80576
Intangible Assets Under Development,,,,1225,,,,1718,,,,1798,2746,2960000,3065,3424,3852,4227,5239,6346,6120,7612,6195,5156,5467,5943,6901,7640,47295,41650,40081,42007,44067,38892,23740
Intangible Assets,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64373,
Other Non-current Assets,470000,524100,520000,472,1680000,1610400,1490000,2123,1350000,3326200,3380000,2287,2188,2400000,2775,3046,3127,3608,3186,3261,1474,2425,1514,1368,1756,1555,1631,2230,2981,2879,4280,5474,4757,3438,2848
Other Financial Assets,,,,,,,,193,,,,258,918,1110000,197,196,239,241,248,284,391,349,564,598,2009,1070,454,1172,10830,11885,,1785,683,1293,5959
Investment Property,,,,,,,,11,,,,9,9,10000,8,8,6,7,,,,,,,,,,,,,,,,,
Ui Other Financial Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466,,,,
Total Assets,47220000,47705200,50920000,57506,59320000,60990600,61890000,63319,64550000,70145600,70450000,84581,88728,92150000,93942,95082,94750,96267,99897,114439,121924,131284,144438,158603,185223,187870,203940,226642,520428,545769,560707,571279,587973,627598,636506
Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Payables,4040000,3929700,3900000,3472,4460000,4395900,4800000,4126,4630000,5281100,5230000,6098,7057,6950000,7397,7987,8227,9623,,10728,,,,,,,,,,,,,,,
Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,,,,,,,,,,,,,,9839,,11687,,12870,,14369,,15049,,36929,,61762,,64172,,66370
Total Outstanding Dues of Creditors Other Than Micro and Small Enterprises,,,,,,,,,,,,,,,,,,,,,,12519,,14069,,12745,,16050,,42434,,62416,,67606,
Total Outstanding Dues of Micro and Small Enterprises,,,,,,,,,,,,,,,,,,,214,,296,,381,,770,,1036,,1491,,958,,1315,,1351
Trade Payables Total Outstanding Dues of Micro and Small Enterprises,,,,,,,,,,,,,,,,,,,,,,137,,336,,1074,,940,,1491,,1273,,2150,
Iborrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27972,,53501,,40784
Short-term Borrowings,720000,690900,620000,,2270000,3999200,3690000,,2590000,3157200,2540000,,3083,3150000,,2194,2116,2070,,2702,,4587,,6109,,15937,,11775,,28165,,41683,,53377,
Borrowings,,,,2435,,,,2610,,,,3949,,,972,,,,1303,,2612,,6676,,13970,,9055,,24802,,,,,,
Lease Liabilities,,,,,,,,,,,,,,,,,,,,,9,57,68,103,84,189,211,505,390,696,547,1012,674,697,724
Derivative Liabilities,,,,,,,,128,,,,143,,,63,63,68,17,62,669,141,124,721,410,260,261,124,1208,586,,,18,455,2112,2478
Tv Derivative liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
"Income Tax Liability, Net",,,,,,,,,,,,,978,1130000,,1048,958,953,,1954,,1563,,1788,,1735,,2305,,2360,,2681,,2057,
"Current Tax Liabilities, Net",,,,,,,,609,,,,965,,,964,,,,891,,1238,,1279,,1524,,1618,,2250,,2769,,1731,,4160
Short-term Provisions,2660000,1043300,1020000,,1890000,766800,710000,,920000,1570700,940000,,439,460000,,500,528,558,,599,,969,,1137,,1234,,1458,,1686,,2076,,2122,
Other Current Liabilities,3150000,3378500,3590000,6123,4640000,4853700,4240000,3687,6870000,5897200,5590000,3164,2159,1020000,2834,2437,1980,974,3076,2016,3691,2764,4976,3623,5810,4122,6250,4215,11094,5785,7768,4742,10248,8415,12603
Provisions,,,,1766,,,,398,,,,374,,,468,,,,465,,805,,1030,,1094,,1305,,1486,,1795,,1916,,2555
Other Financial Liabilities,,,,,,,,4416,,,,1964,2064,3270000,4085,3161,2967,3962,5563,6749,9906,10848,12079,10939,3816,3101,3632,2797,6079,346,,42150,,24006,
Other Financial Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20701,,,,,
Liabilities Directly Associated With Assets Classified as Held for Sale,,,,,,,,,,,,,,,,,,,,,,,,585,404,,,,,,,,,,
(V) Other Financial Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50005,,9326,,9667
