Date,Open,High,Low,Close,Volume,Adj_Close,Company,Country,Ticker
2014-01-03,114.3600006103516,116.1900024414062,114.0599975585938,114.4700012207031,4604600,80.60578155517578,Amgen,United States,AMGN
2014-01-10,114.4700012207031,119.0,113.120002746582,117.9899978637695,15405400,83.08441925048828,Amgen,United States,AMGN
2014-01-17,118.3199996948242,119.6900024414062,115.9400024414062,119.1500015258789,15872900,83.90126037597656,Amgen,United States,AMGN
2014-01-24,119.9599990844727,124.4599990844727,118.5699996948242,119.2900009155273,16686600,83.99983978271484,Amgen,United States,AMGN
2014-01-31,119.25,121.9800033569336,117.0,118.9499969482422,22460400,83.76040649414062,Amgen,United States,AMGN
2014-02-07,119.6800003051758,120.5,114.5699996948242,118.9000015258789,20046300,83.72520446777344,Amgen,United States,AMGN
2014-02-14,119.6800003051758,124.3000030517578,117.9000015258789,123.8399963378906,13249900,87.64822387695312,Amgen,United States,AMGN
2014-02-21,124.8399963378906,126.3199996948242,122.9000015258789,123.8499984741211,12276500,87.65531158447266,Amgen,United States,AMGN
2014-02-28,124.3899993896484,126.9499969482422,121.7399978637695,124.0199966430664,17711100,87.7756118774414,Amgen,United States,AMGN
2014-03-07,122.8899993896484,127.4199981689453,120.2600021362305,122.2600021362305,17732100,86.52996826171875,Amgen,United States,AMGN
2014-03-14,122.2600021362305,126.3499984741211,122.25,122.5400009155273,13853000,86.72815704345703,Amgen,United States,AMGN
2014-03-21,123.120002746582,128.9600067138672,122.4700012207031,122.9300003051758,17841500,87.004150390625,Amgen,United States,AMGN
2014-03-28,123.2699966430664,124.120002746582,118.5599975585938,120.5500030517578,19955000,85.31974792480469,Amgen,United States,AMGN
2014-04-04,122.5,127.25,118.9899978637695,119.1100006103516,18871400,84.300537109375,Amgen,United States,AMGN
2014-04-11,118.1900024414062,120.4700012207031,111.9000015258789,111.9400024414062,25899600,79.22593688964844,Amgen,United States,AMGN
2014-04-18,113.0,117.1900024414062,111.3899993896484,115.4599990844727,16867200,81.71723175048828,Amgen,United States,AMGN
2014-04-25,116.4599990844727,119.7099990844727,111.3000030517578,111.4100036621094,28526000,78.85083770751953,Amgen,United States,AMGN
2014-05-02,111.7799987792969,113.7200012207031,108.1999969482422,112.4199981689453,22656900,79.56568908691406,Amgen,United States,AMGN
2014-05-09,111.3899993896484,113.7200012207031,109.4100036621094,111.4800033569336,16779000,78.90037536621094,Amgen,United States,AMGN
2014-05-16,111.7799987792969,112.7300033569336,109.9199981689453,111.9400024414062,17202000,79.66087341308594,Amgen,United States,AMGN
2014-05-23,111.2399978637695,115.5899963378906,110.9199981689453,114.3300018310547,15086600,81.36170196533203,Amgen,United States,AMGN
2014-05-30,115.7300033569336,116.5699996948242,114.7200012207031,115.9899978637695,9150600,82.54300689697266,Amgen,United States,AMGN
2014-06-06,116.7200012207031,119.379997253418,115.8300018310547,117.8199996948242,13931000,83.84532928466797,Amgen,United States,AMGN
2014-06-13,117.4700012207031,117.7900009155273,115.3000030517578,116.0299987792969,10251200,82.57146453857422,Amgen,United States,AMGN
2014-06-20,116.0,121.0,115.5,120.9700012207031,15268500,86.08697509765625,Amgen,United States,AMGN
2014-06-27,120.6800003051758,120.8499984741211,117.4800033569336,118.5899963378906,12630400,84.39326477050781,Amgen,United States,AMGN
2014-07-04,118.9599990844727,122.8499984741211,118.1999969482422,122.8499984741211,7905600,87.42485809326172,Amgen,United States,AMGN
2014-07-11,121.8499984741211,123.1100006103516,117.879997253418,119.7699966430664,13554400,85.23299407958984,Amgen,United States,AMGN
2014-07-18,120.8399963378906,120.8600006103516,114.9300003051758,118.3000030517578,16365300,84.18690490722656,Amgen,United States,AMGN
2014-07-25,117.629997253418,122.879997253418,117.1999969482422,122.8399963378906,15658900,87.41773986816406,Amgen,United States,AMGN
2014-08-01,122.629997253418,131.2400054931641,121.6600036621094,125.5500030517578,24267800,89.3462905883789,Amgen,United States,AMGN
2014-08-08,129.0,129.3899993896484,125.1399993896484,126.9499969482422,18003800,90.34257507324219,Amgen,United States,AMGN
2014-08-15,127.8600006103516,133.3099975585938,124.8099975585938,132.8000030517578,18147200,94.96063232421875,Amgen,United States,AMGN
