S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-09-30 00:00:00,2016-04-01 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Absolute,Millions,Absolute,Absolute,Millions,Absolute,Millions,Absolute,Millions,Absolute,Millions,Absolute,Millions,Absolute,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Provisions and Employee Benefit Obligations,,,,,,,,,,,,,,,,,,,,,,,,,19.55,,14.47,15.32,
Current Liabilities and Provisions,,279752,,338193964,336.3,586712354,571497711,510.65,,260.58,,409.8,,329.61,,7.73,,76.26,,14.89,,4.86,,24.05,,18.46,,,3.18
Iv.other Financial Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,154.26,,236.49,,
Total Current Liabilities,,3090385,,,2996.73,,,2782.91,2511203078,2377.83,2960583044,3797.17,2346796439,2163.86,2326241598,1842.12,2287549290,2704.6,2989.67,2743.11,3562.18,3211.4,3409.9,3327.39,3898.49,4441.41,4773.39,4546.36,5270.9
Noncurrent Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term Borrowings,,65464,,198154043,143.29,118855417,,,,,,,,,,,,,,,,,,,,,,,
Lease Liabilities,,,,,,,,,,,,,,,,,75204873,,93.26,30.58,414.34,497.27,656.89,610.49,1900.19,1551.43,2633.29,2661.91,2701.3
Deferred Tax Liabilities Net,,27051,,23424746,23.44,23394309,14550897,15.32,24203415,,41068194,,60111379,55.59,70292948,79.17,107938444,85.38,80.63,72.81,176.21,124.91,153.86,167.27,106.2,25.59,36.62,13.2,50.87
Minority Interest,,60996,,66355369,73.54,78109935,81002032,54.08,83606107,54.19,62473733,82.54,95494128,93.69,102168392,115.71,131101423,166.61,188.57,194.75,207.01,193.8,199.1,214.21,208.52,237.21,224.7,255.68,295.24
Provisions,,,,,,,,,7102762,,9608779,,10804340,,13557402,13.56,14745756,14.75,21.11,21.11,18.56,21.76,32.52,60.48,,43.56,,,59.15
Other Non-current Liabilities,,,,,,,,,,,,,,,,56.77,,129.77,,,,,,,,,,,
Other Financial Liabilities,,,,,,,,,125000000,,110000000,,100000000,188.74,100000000,100,50000000,50,50,50,,,,,,,,,
Provisions and Employee Benefit Obligations,,,,,,,,,,,,,,,,,,,,,,,,,45.59,,59.2,63.06,
Shareholders' Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Stock - Par Value,385307,520307,385307,520307204,520.31,520307204,534313698,534.31,409313698,534.31,409313698,519.31,409313698,409.31,409313698,409.31,409313698,409.31,409.31,409.31,409.31,404.23,453.16,453.16,453.16,453.16,453.16,453.16,453.16
Reserves & Surplus,,615881,,901517023,1540.52,1814585185,3263324967,3909.67,4039551641,3918.82,3925010984,,4299332363,4787.95,5015509488,5461.64,,6975.08,,,,,,,,,,,
Other Equity,,,,,,,,,,,,4202.65,,,,,5950828839,,8455.64,10548.74,11613.39,12228.65,16998.46,18302.75,20197.38,22360.81,24215.96,26427.06,29778.4
Total Shareholders Equity,385307,1136188,385307,1421824227,2060.83,2334892389,3797638665,4443.98,4448865339,4453.13,4334324682,4721.96,4708646061,5197.26,5424823186,5870.95,6360142537,7384.39,8864.95,10958.05,12022.7,12632.88,17451.62,18755.91,20650.54,22813.97,24669.12,26880.22,30231.56
Total Liabilities & Shareholders Equity,,4380084,,4900952513,5297.83,5552712815,6755546435,7296.29,7199980701,6885.15,7518058432,8601.67,7321852347,7699.14,8037083526,8078.28,9026682323,10535.5,12288.19,14070.41,16401,16682.02,21903.89,23135.75,26809.53,29113.17,32396.32,34420.43,38609.02
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
