organized_path,original_archive_member,original_relative_path,category,subcategory,size_bytes
01_INDIAN_COMPANIES/Zenotech_Laboratories/01_FINANCIAL_DATA/Other/00454926141801af__22Entities_Report_08-16-2026083756138.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Zenotech_Laboratories/00454926141801af__22Entities_Report_08-16-2026083756138.xlsx,01_EVIDENCE/Indian/Zenotech_Laboratories/00454926141801af__22Entities_Report_08-16-2026083756138.xlsx,01_FINANCIAL_DATA,Other,34573
01_INDIAN_COMPANIES/Zenotech_Laboratories/01_FINANCIAL_DATA/Other/3da2c6195b5257da__22Entities_Report_08-16-2026091001985.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Zenotech_Laboratories/3da2c6195b5257da__22Entities_Report_08-16-2026091001985.xlsx,01_EVIDENCE/Indian/Zenotech_Laboratories/3da2c6195b5257da__22Entities_Report_08-16-2026091001985.xlsx,01_FINANCIAL_DATA,Other,14754
01_INDIAN_COMPANIES/Zenotech_Laboratories/01_FINANCIAL_DATA/Other/594fdcc9727bdead__Zenotech_Laboratories.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Zenotech_Laboratories/594fdcc9727bdead__Zenotech_Laboratories.xlsx,01_EVIDENCE/Indian/Zenotech_Laboratories/594fdcc9727bdead__Zenotech_Laboratories.xlsx,01_FINANCIAL_DATA,Other,161913
01_INDIAN_COMPANIES/Zenotech_Laboratories/01_FINANCIAL_DATA/Other/63a892b8661c9c7f__22Entities_Report_08-16-2026090002029.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Zenotech_Laboratories/63a892b8661c9c7f__22Entities_Report_08-16-2026090002029.xlsx,01_EVIDENCE/Indian/Zenotech_Laboratories/63a892b8661c9c7f__22Entities_Report_08-16-2026090002029.xlsx,01_FINANCIAL_DATA,Other,16450
01_INDIAN_COMPANIES/Zenotech_Laboratories/01_FINANCIAL_DATA/Other/b5236baf4e816199__22Entities_Report_08-16-2026082730202.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Zenotech_Laboratories/b5236baf4e816199__22Entities_Report_08-16-2026082730202.xlsx,01_EVIDENCE/Indian/Zenotech_Laboratories/b5236baf4e816199__22Entities_Report_08-16-2026082730202.xlsx,01_FINANCIAL_DATA,Other,30113
01_INDIAN_COMPANIES/Zenotech_Laboratories/01_FINANCIAL_DATA/Other/ecbcd34e184c4c85__ZenotechLaboratoriesLimitedBSE532039_Report_08-16-2026.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Zenotech_Laboratories/ecbcd34e184c4c85__ZenotechLaboratoriesLimitedBSE532039_Report_08-16-2026.xlsx,01_EVIDENCE/Indian/Zenotech_Laboratories/ecbcd34e184c4c85__ZenotechLaboratoriesLimitedBSE532039_Report_08-16-2026.xlsx,01_FINANCIAL_DATA,Other,14307
01_INDIAN_COMPANIES/Zenotech_Laboratories/02_HISTORICAL_MARKET_DATA/Daily/faa53f80d0733762__Zenotech_Laboratories_ZENOTECH_BO_daily.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Zenotech_Laboratories/faa53f80d0733762__Zenotech_Laboratories_ZENOTECH_BO_daily.csv,01_EVIDENCE/Indian/Zenotech_Laboratories/faa53f80d0733762__Zenotech_Laboratories_ZENOTECH_BO_daily.csv,02_HISTORICAL_MARKET_DATA,Daily,687096
01_INDIAN_COMPANIES/Zenotech_Laboratories/02_HISTORICAL_MARKET_DATA/Monthly/88c18d6fa7382ad6__Zenotech_Laboratories_ZENOTECH_BO_monthly_derived.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Zenotech_Laboratories/88c18d6fa7382ad6__Zenotech_Laboratories_ZENOTECH_BO_monthly_derived.csv,01_EVIDENCE/Indian/Zenotech_Laboratories/88c18d6fa7382ad6__Zenotech_Laboratories_ZENOTECH_BO_monthly_derived.csv,02_HISTORICAL_MARKET_DATA,Monthly,26895
01_INDIAN_COMPANIES/Zenotech_Laboratories/02_HISTORICAL_MARKET_DATA/Weekly/f7ac8e95b5b0fd89__Zenotech_Laboratories_ZENOTECH_BO_weekly_derived.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Zenotech_Laboratories/f7ac8e95b5b0fd89__Zenotech_Laboratories_ZENOTECH_BO_weekly_derived.csv,01_EVIDENCE/Indian/Zenotech_Laboratories/f7ac8e95b5b0fd89__Zenotech_Laboratories_ZENOTECH_BO_weekly_derived.csv,02_HISTORICAL_MARKET_DATA,Weekly,115769
