S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Millions,Thousands,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Other Financial Assets,,,,,,,,,,,,,,9703,,,,,,,,,,,,,,
"Current Tax Assets, Net",,,,,,3096,,4178,4717,712,1073,740,1040,1065,1321,1506,1386,909,875,938,1315,1125,1403,1208,1238,1244,2090,1047
Assets Classified as Held for Sale,,,,,,,,,,,,,,,,,,,,1662,,82,,816,,,,
I I Other Financial Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,434,
Total Assets,,,,79865,84733300,91342,97556300,105506,119306,152207,164944,180653,180556,234831,230088,236866,245501,238847,274712,277954,256293,257564,258794,292808,314459,372017,468973,524066
Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Payables,,8297800,,9108,9437000,10329,15001400,13081,16495,15479,17624,,16463,,,,288,,,,,,,,,,,
"Due to Micro, Small and Medium Enterprises",,,,,,,,,,,,214,,121,112,170,,228,130,280,194,377,192,670,612,974,1182,1540
Dues to Other Than Micro and Small Enterprises,,,,,,,,,,,,18670,,19105,,20273,,21831,,21098,,20873,,20597,,21833,,26911
"Due to Other Than Micro, Small and Medium Enterprises",,,,,,,,,,,,,,,16438,,22523,,21327,,17831,,16166,,20656,,23433,
Il Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,28148,
Short-term Borrowings,,13821600,,,10441100,,9305400,,17433,,21567,,24638,,33088,,41419,,42069,,21301,,1500,,1500,,,
Borrowings,,,,9024,,11757,,12109,,24769,,25575,,31969,,38265,,39740,,38339,,,,7686,,31695,,85815
Lease Liabilities,,,,,,,,,,,,,,,,,,90,79,88,72,119,112,105,90,116,,582
Ii I .ease liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,110,
"Current Tax Liabilities, Net",,,,,,213,,300,309,116,648,520,1584,537,168,291,1326,884,2482,418,2013,1568,4963,3720,6344,6157,2600,3663
Short-term Provisions,,760900,,2927,928900,266,1976900,513,416,573,842,1002,1170,1357,1903,2432,2938,3299,3559,3656,3488,3654,3784,3948,4981,4514,,4785
Other Current Liabilities,,6154400,,7081,8995900,844,6966200,1014,446,1519,1971,1387,1756,1713,1780,1771,1945,1782,1850,1864,1755,2705,2573,2780,2820,2663,6544,4777
Other Current Liabilities,,,,,,,,,,,,,,,,,18556,,,,,,,,,,,
Other Financial Liabilities,,,,,,6512,,7593,5621,10602,11322,13352,11125,18623,17939,19492,,10759,11959,12525,14483,14339,14288,13891,,22464,,29046
Financial Liabilities,,,,,,,,,,,,,,,,,,,,,,11632,,,16489,,26145,
Liabilities Directly Associated With Assets Classified as Held for Sale,,,,,,,,,,,,110,,,,,,,208,126,74,40,52,22,22,,,
(C I Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,6313,
Total Current Liabilities,,29034700,,28140,29802900,29921,33249900,34610,40720,,53974,,,73425,71428,82694,88995,,,78394,,,43630,,,90416,94475,157119
Noncurrent Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term Borrowings,,15646000,,13622,11931100,11504,10857800,8964,9682,24684,27145,25551,27870,39497,37734,32146,15016,6095,4456,3621,2885,,,,,,,31880
Iborrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,67791,
Lease Liabilities,,,,,,,,,,,,,,,,,,151,189,161,202,198,307,251,315,321,,6683
Ii Lease Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,312,
Deferred Tax Liabilities,,902400,,,919800,,547400,,1397,,3640,,2756,,2232,,1893,,1135,,1289,,1819,,4428,,16438,
"Deferred Tax Liability, Net",,,,961,,1575,,2009,,1164,,2821,,2523,,2099,,1197,,1538,,1944,,4465,,5126,,17340
Minority Interest,,1352900,,1443,1603600,1767,1827900,1358,1503,1561,1726,1910,1955,12929,12867,13347,18793,19373,19873,20542,21025,21725,22081,22721,23300,24053,27879,24708
Other Long-term Liabilities,,436900,,,499200,,370800,,,,,,28,,22,,147,,7,,,,13,,13,,1,
Other Non-current Liabilities,,,,548,,,,,,,,13,,26,,17,,10,,3,,,,18,,9,,5
Long-term Provisions,,634200,,761,826600,1064,1026900,1207,1305,1512,1661,1559,1569,1841,1967,2352,2638,3095,3105,3250,2554,2718,3092,3097,3706,3839,4262,4453
Other Financial Liabilities,,,,,,303,,366,565,628,630,524,549,727,849,454,473,390,401,449,477,514,524,10542,10937,8722,4795,10764
Shareholders' Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Stock - Par Value,1023700,1023700,1023700,1024,1023700,1024,1023700,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1012,1012,1012,1006,1006,1006,1006,1006
Reserves & Surplus,,30682800,,33366,38126400,,48651900,,,,,,,,,,,,,,,,,,,,,
Other Equity,,,,,,44184,,55968,63110,68576,75144,86421,88069,102839,101965,102733,116522,128899,160859,168972,165638,174146,186316,197289,217240,238525,252014,270108
Total Shareholders Equity,1023700,31706500,1023700,34390,39150100,45208,49675600,56992,64134,69600,76168,87445,89093,103863,102989,103757,117546,129923,161883,169996,166650,175158,187328,198295,218246,239531,253020,271114
Total Liabilities & Shareholders Equity,,79713600,,79865,84733300,91342,97556300,105506,119306,152207,164944,180653,180556,234831,230088,236866,245501,238847,274712,277954,256293,257564,258794,292808,314459,372017,468973,524066
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
