relative_path,size_bytes,sha256
01_EVIDENCE\Indian\Ajanta_Pharma\017f4dba26b6ab8b__Ajanta_Pharma_Balance_Sheet_Quarters.csv,12181,017f4dba26b6ab8b1c14b58159437e3faf1d696ff970a1c79447e7653f6ed37e
01_EVIDENCE\Indian\Ajanta_Pharma\14b7b17382aee221__22Entities_Report_08-16-2026082730160.xlsx,32245,14b7b17382aee2216fd64a5ea423e1fc4d605c707d6528efbab9c6a213f55dd3
01_EVIDENCE\Indian\Ajanta_Pharma\1d2482e7e67659b2__22Entities_Report_08-16-2026091001968.xlsx,15776,1d2482e7e67659b2fe51b5942845e742ce0491f622df7fde862c0a9d89499663
01_EVIDENCE\Indian\Ajanta_Pharma\2163e7db32dd3272__Ajanta_Pharma_daily.csv,246162,2163e7db32dd3272ff6eecc7266e8d97f8cc3558f4b92da763366791f75d083b
01_EVIDENCE\Indian\Ajanta_Pharma\313771ddccd19e41__Ajanta_Pharma_Income_Statement_Quarters.csv,11455,313771ddccd19e41ca7c20e4cd768f66ab36e95b179ca0ef104dfff885c215c7
01_EVIDENCE\Indian\Ajanta_Pharma\39531bb44bb34a42__22Entities_Report_08-16-2026090002008.xlsx,19438,39531bb44bb34a42f33a275fefb5f6ee2f9dc9522be600579373066fd8c294c8
01_EVIDENCE\Indian\Ajanta_Pharma\4789c5a2fe126806__Ajanta_Pharma_AJANTPHARM_NS_weekly_derived.csv,128509,4789c5a2fe1268068f2e092efe6231491186e7097a8ff672afc9724f6740ae40
01_EVIDENCE\Indian\Ajanta_Pharma\47d55fd44799bdc1__Ajanta_Pharma_weekly_derived.csv,52506,47d55fd44799bdc19d44ac532cf8fb056ae65c96dbf7f0bc5f9660d37c6ebfd1
01_EVIDENCE\Indian\Ajanta_Pharma\4a09241f855968df__Ajanta_Pharma_Balance_Sheet_Years.csv,8084,4a09241f855968dfd921604d57cfad6737e723041fd1cb91cc1725aad98768e0
01_EVIDENCE\Indian\Ajanta_Pharma\560f5cb5c68e81cd__YUKTHA_DATA.xlsx,2749720,560f5cb5c68e81cdfe3889abe23631168e61a2f830b5d1b990ed29124af239d5
01_EVIDENCE\Indian\Ajanta_Pharma\65c19e192fef7079__Ajanta_Pharma_yahoo_adjusted_close_supplement.csv,597665,65c19e192fef7079069318248ff2d8aad11850e06af7362fb8e8d8dc6733d661
01_EVIDENCE\Indian\Ajanta_Pharma\662d49f720c4020d__Ajanta_Pharma_Cash_Flow_YTD.csv,6317,662d49f720c4020d75d84dd14004ad5df894114a1f12432c6b7f8d723dbe5f24
01_EVIDENCE\Indian\Ajanta_Pharma\6e2f45df2871681e__Ajanta_Pharma_AJANTPHARM_NS_daily.csv,761242,6e2f45df2871681e8cf0434149312441efe4b95c4b5c24c4f9ecc714678dddf7
01_EVIDENCE\Indian\Ajanta_Pharma\7eee3f7cc8dce877__22Entities_Report_08-16-2026083756102.xlsx,36851,7eee3f7cc8dce8779cf152fdbfe186cefc466382db5af479575ed6ecb6693eac
01_EVIDENCE\Indian\Ajanta_Pharma\b36efbb7a90ed63a__Ajanta_Pharma_yfinance_annual_income.csv,3883,b36efbb7a90ed63a3315d324c78529cfeb311cefe0ce5d48b29d98a7156f4c50
01_EVIDENCE\Indian\Ajanta_Pharma\b3b5339852cad82d__Ajanta_Pharma_Cash_Flow_Years.csv,9408,b3b5339852cad82d42c91764fbdb748051d8ca6be2c6f41c83e7a1d403a17fe9
01_EVIDENCE\Indian\Ajanta_Pharma\bfa46f398367b340__Ajanta_Pharma_monthly_derived.csv,12237,bfa46f398367b34073e58c20035c0d7f55c71f09ea3bb4a19c8bdf9f39568380
01_EVIDENCE\Indian\Ajanta_Pharma\f1add763615bfc32__Ajanta_Pharma_AJANTPHARM_NS_monthly_derived.csv,29754,f1add763615bfc321d75ee86d7d4fb9e5f068b18539f2ec9a474d91479e867fa
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\09131116d6f30579__Alembic_Pharmaceuticals_APLLTD_NS_daily.csv,416714,09131116d6f30579ec710fd6070cf23b558153f2502da215c2667e3288e50bc1
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\10e496fcbad4d158__Alembic_Pharmaceuticals.xlsx,453180,10e496fcbad4d15888b6e70e951e5736701aae695e0834e6f41b1fffd5a75f12
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\1d92bc069d2df97b__Alembic_Pharmaceuticals_APLLTD_NS_weekly_derived.csv,67750,1d92bc069d2df97b5179ff83a7a660d1116d27a2a99653c8a57b8db0763a05c2
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\2e7b6e88ec5bfd41__Alembic_Pharmaceuticals_daily.csv,449829,2e7b6e88ec5bfd411fb80e853c80d5b850430f5753be315c346894f6666f7ee3
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\307a005661f8cd45__22Entities_Report_08-16-2026083755969.xlsx,34448,307a005661f8cd454b7bdd3f868ec0a32b2b14ab5cf227e758027f28c09580c0
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\548496aa183ef077__Alembic_Pharmaceuticals_weekly_derived.csv,88941,548496aa183ef077bc6b5fa836fb0b8dab903f22dd745b3c916877d4c6fd51ee
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\65d3439e977c1000__Alembic_Pharmaceuticals_APLLTD_NS_monthly_derived.csv,16052,65d3439e977c10001b979bba014db5ec6c28cabbff1d9fae0bd51a705394ca5c
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\6789d981835bb311__Alembic_Pharmaceuticals_Income.xlsx,3279,6789d981835bb3118af8b9b6f311c519a858265de2b124a5749e90b9da18103b
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\70ab0060e4741581__Alembic_Pharmaceuticals_Income_Statement_Quarters.csv,10478,70ab0060e4741581d7abffeb3fe8fb47780158c0e452983270fb274138ee366b
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\7e8f06f9564e3ed3__Alembic_Pharmaceuticals_Balance_Sheet_Quarters.csv,10373,7e8f06f9564e3ed3d3452efbe6963ac1a5c8b7830eefbdf8e7a9034cade6e966
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\8d79bd8e2f4f51f6__Alembic_Pharmaceuticals_Balance.xlsx,3279,8d79bd8e2f4f51f6dfea685b1976272910c893218b96590b54a0268fd185fc8a
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\96e082874e59bc4d__Alembic_Pharmaceuticals_Cash_Flow_Years.csv,7197,96e082874e59bc4dafc1b70ddf455b620012ad6fb6a52195b7c878d76dbb1b2c
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\a2a09e7e2aca9bab__Alembic_Pharmaceuticals_Cashflow.xlsx,3279,a2a09e7e2aca9babec1d9d4d9a5db06f398cb5c4dd0de1edf9033495bac3b148
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\b7f207b5018860c3__Alembic_Pharmaceuticals_monthly_direct.csv,21009,b7f207b5018860c320e97977f7dd3536bbc4d1bf2a601b024e45c5d929123c21
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\bcb21273c0188179__Alembic_Pharmaceuticals_annual_direct.csv,1951,bcb21273c01881791194be8c136c1456ed1755458e94831fc49c3779654b6541
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\c13f3691eba05612__Alembic_Pharmaceuticals_Cash_Flow_YTD.csv,4580,c13f3691eba056127d6ce56ef7704c3520ab29d694fba4bacf568fbfb0792967
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\e316bb5a8d24cd0c__22Entities_Report_08-16-2026082729980.xlsx,29977,e316bb5a8d24cd0ce35e6f7fd999ab8d0adb3e0a2d7f1944191dc3b70253a64e
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\f3434c9628d60d27__22Entities_Report_08-16-2026091001993.xlsx,14396,f3434c9628d60d274d7e0a56af32c9cd66d1114c9e8a705288b266ccd7bec65a
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\f5eeac0d7641bebc__Alembic_Pharmaceuticals_Balance_Sheet_Years.csv,6593,f5eeac0d7641bebc4ad83822b2e74ced06f85fc2221d401c4ab0c1adbb7beec6
01_EVIDENCE\Indian\Alembic_Pharmaceuticals\f7557b757a7fc573__22Entities_Report_08-16-2026090002037.xlsx,17770,f7557b757a7fc573668df177f892810024a993bf5fe3fca8a77bb0fa7e5a5acf
01_EVIDENCE\Indian\Aurobindo_Pharma\01251785a4ef5269__Aurobindo_Pharma_monthly_direct.csv,19767,01251785a4ef5269c701756ab2e9851e4e80d8f436805cffe69a78b8b5f28c66
01_EVIDENCE\Indian\Aurobindo_Pharma\014fd7521379c7a7__Aurobindo_Pharma.xlsx,454738,014fd7521379c7a7c54ba35307adc4b385fad5d182f774f7ccd0afb97e0fdcc7
01_EVIDENCE\Indian\Aurobindo_Pharma\03dcced6ceb815c3__Aurobindo_Pharma_Balance_Sheet_Years.csv,10451,03dcced6ceb815c35f291be9d2bb1f5af64bb92f883b82a984ae7cddb2163384
01_EVIDENCE\Indian\Aurobindo_Pharma\0cf3cd922c109952__Aurobindo_Pharma_yfinance_annual_income.csv,4333,0cf3cd922c1099529bf3cb0976bc23fffad46a1f500e354cff4f99fcbc426eee
01_EVIDENCE\Indian\Aurobindo_Pharma\2359a16812f254ec__22Entities_Report_08-16-2026090001910.xlsx,27667,2359a16812f254eca38353d129563c09637055bdddcc89c3ddb416456c849bd0
01_EVIDENCE\Indian\Aurobindo_Pharma\2c2c15ba383d67c1__Aurobindo_Pharma_Cash_Flow_Years.csv,15642,2c2c15ba383d67c1fd5fe97a4cd7282c1e7143846683d8619f99cf38f60b65e8
01_EVIDENCE\Indian\Aurobindo_Pharma\349c4e5b7e9c99c8__22Entities_Report_08-16-2026082729859.xlsx,43794,349c4e5b7e9c99c8dd5d93e3e48c9ccabdaec0cf88797bd4020ae623e0bffe73
01_EVIDENCE\Indian\Aurobindo_Pharma\3629b4e8d10c1c10__Aurobindo_Pharma_weekly_derived.csv,85714,3629b4e8d10c1c1027b518e24aef2d28505f136b558a9e34a191ce29f8f1884c
01_EVIDENCE\Indian\Aurobindo_Pharma\37848a9f356488df__Aurobindo_Pharma_AUROPHARMA_NS_daily.csv,924182,37848a9f356488df7b2ea6d10d3992a797b50df1f2f08c5c965a81b722f82bb2
01_EVIDENCE\Indian\Aurobindo_Pharma\3e9757ca7860bf25__Aurobindo_Pharma_Income_Statement_Quarters.csv,19754,3e9757ca7860bf2575f383682adccc07828fe5c262efab123faa7902de5bc7c5
01_EVIDENCE\Indian\Aurobindo_Pharma\4402b1ada979e35d__Aurobindo_Pharma_AUROPHARMA_NS_monthly_derived.csv,35387,4402b1ada979e35dcee8cf5c2ef5bd9ab2f375a9ef4660eae6dabb87546846fc
01_EVIDENCE\Indian\Aurobindo_Pharma\6d9a365da4bcde16__22Entities_Report_08-16-2026091001886.xlsx,17790,6d9a365da4bcde1634f2a5cba90ce1adf51541210016c77bc2e65ecc223b290f
01_EVIDENCE\Indian\Aurobindo_Pharma\87dcd648aa6aa06f__Aurobindo_Pharma_AUROPHARMA_NS_weekly_derived.csv,151695,87dcd648aa6aa06f75f7394aa0cff3a51d7252a7a758e9e4e44751e1cff3eb86
01_EVIDENCE\Indian\Aurobindo_Pharma\a9d3277414dbe953__Aurobindo_Pharma_Cash_Flow_YTD.csv,8600,a9d3277414dbe95359c0c0ae9c114b4a05e8ef02ee082496773f263f517305ab
01_EVIDENCE\Indian\Aurobindo_Pharma\ab1d9653c6274c22__Aurobindo_Pharma_annual_direct.csv,1820,ab1d9653c6274c227cc6d49e2ca2cd011f646b501ac7c1fbc04f57cf02969b7e
01_EVIDENCE\Indian\Aurobindo_Pharma\bfadbc7dcd2fabbf__22Entities_Report_08-16-2026083755866.xlsx,49857,bfadbc7dcd2fabbff163b69d8411d13bd7fb1c8cef2441cb0658c94addd785e1
01_EVIDENCE\Indian\Aurobindo_Pharma\c0715abb5269da4b__Aurobindo_Pharma_Balance_Sheet_Quarters.csv,15324,c0715abb5269da4ba41d249dd263606e17585bb7e8aad9d658c68f3066f58b60
01_EVIDENCE\Indian\Aurobindo_Pharma\c52a321f40e9505d__Aurobindo_Pharma_Cashflow.xlsx,3279,c52a321f40e9505d6378cfcae77f0a9dd6021e0284bf7ffa11b75b4b353687ed
01_EVIDENCE\Indian\Aurobindo_Pharma\d25ec01ef9ec07e3__Aurobindo_Pharma_Balance.xlsx,3279,d25ec01ef9ec07e32a6a171647da633eb2126dbbd55aa49c15b091c040733920
01_EVIDENCE\Indian\Aurobindo_Pharma\d9a2b6f23c2a29dd__Aurobindo_Pharma_daily.csv,429271,d9a2b6f23c2a29dd7e39a4e35375b0d1d5eb08abd9fe12e3ee6ee7eaa5826961
01_EVIDENCE\Indian\Aurobindo_Pharma\fe0e59be060925ca__Aurobindo_Pharma_Income.xlsx,3279,fe0e59be060925caeb0012660c5158d05cf0d78bfdcf2958ff1f9f1079bea1ba
01_EVIDENCE\Indian\Biocon\00411a441a58942c__Biocon_Cashflow.xlsx,3278,00411a441a58942ce1817131b7fbdf169ed8ffb856b6c4c7dc0720c599d66ebf
01_EVIDENCE\Indian\Biocon\0f2ec21bf7ddd2d8__Biocon.xlsx,247533,0f2ec21bf7ddd2d8c2e41d1d68ae8e7eaa408ba4fadff789edf94d7c33b90eca
01_EVIDENCE\Indian\Biocon\203e0370c9d16969__22Entities_Report_08-16-2026083755706.xlsx,44576,203e0370c9d16969a276e368372ef0f6c8c3add3f26341586652f794f626b37e
01_EVIDENCE\Indian\Biocon\604ac4d6a0530a8a__Biocon_Balance_Sheet_Years.csv,6632,604ac4d6a0530a8ae551dc93395e9e35c237551f3698d51ea377718b714a46da
01_EVIDENCE\Indian\Biocon\6cc3637af37e2858__Biocon_Balance.xlsx,3279,6cc3637af37e2858c105b8a245a31b2def73ed170e06fadb2d0d4fb940c583c8
01_EVIDENCE\Indian\Biocon\8e4ac897aab55bfb__Biocon_weekly_direct.csv,79546,8e4ac897aab55bfb2743d9b90e9ab52c1edb5ae566412ab961697bd495949b5c
01_EVIDENCE\Indian\Biocon\96e708d17983af6f__22Entities_Report_08-16-2026091001814.xlsx,16716,96e708d17983af6ff9eadbe788ff8cd4f496f84f2f3501a6bcd30416cb32b190
01_EVIDENCE\Indian\Biocon\a169e3aaf5ed8a0d__MASTER_STOCK_DATA.xlsx,458351,a169e3aaf5ed8a0d441e96646ebc97dca185a04f12b1a5a5c86d33bea99e4dd4
01_EVIDENCE\Indian\Biocon\a458cd2132b59bc2__Biocon_Cash_Flow_YTD.csv,6788,a458cd2132b59bc22ea38931805949d86b393a938930f6a239ed1ad7896025b0
01_EVIDENCE\Indian\Biocon\acdc6e5f152123a7__22Entities_Report_08-16-2026082729686.xlsx,34645,acdc6e5f152123a77db6652e8d04f9f783b13056a8753be4f5e658e68a7411e3
01_EVIDENCE\Indian\Biocon\b0576ba055ea8b56__Biocon_Income.xlsx,3280,b0576ba055ea8b56a02d16bdeefd1ce80865e4158adf021fbd0bfc7546859a3f
01_EVIDENCE\Indian\Biocon\bac2a78b5d0c4bf5__Biocon_Cash_Flow_Years.csv,10228,bac2a78b5d0c4bf5a2f3f042c052260e049071e887ead1286c59296885b3aa50
01_EVIDENCE\Indian\Biocon\c3fbcc6ca38f8809__Biocon_annual_direct.csv,1709,c3fbcc6ca38f8809139f7c95c2b231ed862460fa3385c61730a5f6cb39c01247
01_EVIDENCE\Indian\Biocon\cdd8215295f4f3d9__Biocon_Income_Statement_Quarters.csv,12400,cdd8215295f4f3d900a506ec925dce11407a7b420df9e284373176038a3d176e
01_EVIDENCE\Indian\Biocon\cec4b4dcc46003ab__Biocon_monthly_direct.csv,18470,cec4b4dcc46003ab6d573064af2cb9466e5e48a75792f6b3c3a54101480f640f
01_EVIDENCE\Indian\Biocon\d9e1f00fec7a521a__Biocon_Balance_Sheet_Quarters.csv,14190,d9e1f00fec7a521ae672399f3d948d9456b9dee491d6e3d1c808abfdef70f33f
01_EVIDENCE\Indian\Biocon\de520ee026f80bd6__Biocon_daily.csv,373121,de520ee026f80bd6baf64e9c3c918206be2a3e43843903b8c988678c425e068b
01_EVIDENCE\Indian\Biocon\fbe31a9bc7bf9c50__Biocon_yfinance_annual_income.csv,4087,fbe31a9bc7bf9c5064cc276a3a2a6d8b04fe24fb6ae129146dd45aff2f06b13a
01_EVIDENCE\Indian\Biocon\fd2896c5de465639__22Entities_Report_08-16-2026090001837.xlsx,21272,fd2896c5de465639295df5c8e7381788160e978a8c7c578a747bd7c4c08fc96a
01_EVIDENCE\Indian\Biocon\fdd6a7da8986333a__Biocon.xlsx,22196,fdd6a7da8986333ad55fdf4037c4e1a5e84ea8a28dcd3a4b896fb5a9ecb00af6
01_EVIDENCE\Indian\Cipla\1864a2653392f80c__22Entities_Report_08-16-2026083755906.xlsx,38793,1864a2653392f80c35c6652cb665568fa4904b7149429ca468accd88426bb2e4
01_EVIDENCE\Indian\Cipla\1db7233659d8fe18__Cipla.xlsx,454804,1db7233659d8fe1891387028d649f1c678e511fb02f0f6f8d6faa52f5e80df5e
01_EVIDENCE\Indian\Cipla\21c9ca6ec00287f2__Cipla_daily.csv,380442,21c9ca6ec00287f24e38cb144af016e24648013ca26af0ab0532b028b66dd1e3
01_EVIDENCE\Indian\Cipla\29d79e9697ac4e30__22Entities_Report_08-16-2026091001903.xlsx,15794,29d79e9697ac4e3071980d0c6287208263fc15303a16abb313bf00d250edd401
01_EVIDENCE\Indian\Cipla\57691f30e22d1aee__Cipla_Income_Statement_Quarters.csv,13173,57691f30e22d1aee1967836b437b13f4fa748f16a2a50bed793c99adff4faf09
01_EVIDENCE\Indian\Cipla\671fc4fe36a2fc4c__Cipla_Cash_Flow_YTD.csv,6618,671fc4fe36a2fc4c953b9463c6fe1bd4205e3ffbeeed0abf55891c513662ec97
01_EVIDENCE\Indian\Cipla\724fd9d933f97bf6__22Entities_Report_08-16-2026090001930.xlsx,19974,724fd9d933f97bf664e03fe8698f47789b85d3a16ff4466f3bf32869c8474ae5
01_EVIDENCE\Indian\Cipla\784fd9d7706d009f__Cipla_CIPLA_NS_daily.csv,927875,784fd9d7706d009f1fa65ed00cf93a66727ecfc84bc8c282c52616d5077e843f
01_EVIDENCE\Indian\Cipla\7eb9779db26535e3__Cipla_weekly_derived.csv,75015,7eb9779db26535e3414415004cf5c7942b8c7a6ca3cf2c925e1b675eeb8bffb3
01_EVIDENCE\Indian\Cipla\94396080fe3300c4__Cipla_CIPLA_NS_monthly_derived.csv,35147,94396080fe3300c4c56234553685188ecb596b43bca0acdf23a3f0a3e799b03a
01_EVIDENCE\Indian\Cipla\9ec1560e42c88078__Cipla_Balance_Sheet_Quarters.csv,14772,9ec1560e42c880780dc817ac9fcbef371735cf133a4190b47bc3c540882c5fb3
01_EVIDENCE\Indian\Cipla\a7975fb0af6fc7ad__Cipla_Income.xlsx,3279,a7975fb0af6fc7ad7f312d1a48dca17a080d1c15a8f9fcfe5fe80256636d2cec
01_EVIDENCE\Indian\Cipla\ac91ee9a762d1358__Cipla_yfinance_annual_income.csv,4133,ac91ee9a762d13582cc7be71a1a8075df4b2e38e72abf7781c2103f3412dd1f5
01_EVIDENCE\Indian\Cipla\aff020f3899c9d5a__Cipla_Cash_Flow_Years.csv,10509,aff020f3899c9d5adc761099e55195709cfff4bd93ca3e52d9c9d8b6465c37e0
01_EVIDENCE\Indian\Cipla\bf2692682f12554a__Cipla_CIPLA_NS_weekly_derived.csv,152041,bf2692682f12554a66f2ed9e77bf10888baf2f2c6cbf0983a3b42f9e2029692d
01_EVIDENCE\Indian\Cipla\de96e0a03f68a6fe__Cipla_Balance_Sheet_Years.csv,8057,de96e0a03f68a6fe5a5e32b76c606ab926d95ec31552846e699557f739ee4445
