,,,,,,,,,,,,,
Torrent Pharmaceuticals Limited | Balance Sheet (As Reported),,,,,,,,,,,,,
BSE: 500420 (MI KEY: 4811331; SPCIQ KEY: 878525),,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY,2026 FY
Period Ended,2014-03-31 00:00:00,2015-04-01 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands
Current Assets,,,,,,,,,,,,,
Cash and Cash Equivalents,7694200,3269200,2842800,2791300,2411100,5887600,6618200,5725600,3984000,5085300,8351400,5734800,11172000
Bank Balances Other Than Cash and Cash Equivalents,,,,6145900,6261200,2272800,48300,309400,50100,629300,39000,59800,480000
Investments,1856300,2984600,7795900,8035500,4922700,3513500,200,1390500,1839800,1560900,1410400,1122100,8657400
Bank Deposits Other Than Cash and Cash Equivalent,,2397300,3627500,,,,,,,,,,
Trade Receivables,10994200,15945400,14450900,9508900,12534500,14357100,16493400,15233700,16324800,19438200,18443000,18664500,30308600
Assets for Current Tax (net),,358800,88500,,,,,,,,,,
Loans,,19400,16900,21500,31200,37900,36400,30800,26100,17100,30500,42200,53000
Loans and Advances,849500,,,,,,,,,,,,
Inventories,10060600,10671700,13579800,15591500,19663000,19351500,21482200,26812000,24623200,22296400,22790700,25412500,31381900
Other Current Assets,2590000,2730700,3819300,3429600,5206400,4312300,4295000,4505100,3122100,3025900,3043000,3361300,6290000
Other Financial Assets,,2606200,660500,3269600,1593100,642600,816900,1207900,1679800,1084100,2006800,1828500,5576000
Noncurrent Assets Held for Sale,,1900,8200,900,900,100,18600,17200,1296600,154600,,,12000
Total Current Assets,34044800,,,,52624100,50375400,,,,,56114800,,
Noncurrent Assets,,,,,,,,,,,,,
Right of Use Assets,,,,,,,1354200,1255500,1275100,1449300,1575700,2464100,6617600
Capital Work in Progress,5341100,6783300,10415800,4629000,4232100,4793100,5766100,7439000,5443400,6882400,2808000,3672600,4574900
"Property, Plant and Equipment",8467200,8826300,9751500,18714100,24168000,28006800,28178900,27577900,25750800,26266700,31394000,32092400,42467700
Non-current Investments,300,600,900,900,900,20900,20900,420900,423300,427000,318000,435700,826200
Deferred Tax Asset-net,656400,2667400,2831900,3098800,2759200,3698500,4332100,4216600,4936500,5436700,5551300,5941500,6982700
Non Current Tax Assets Net,,,,818200,902800,1203900,1888800,558900,1222100,,,,
Other Tax Assets (net),,,,,,,,,,1358000,3087900,2263500,2269900
Loans Loans,,9900,11300,21600,24800,26100,22900,20200,17500,25000,25100,33700,34000
Long-term Loans and Advances,1294700,,,,,,,,,,,,
Goodwill,,1248800,1248800,1595000,3985200,3347900,3420900,3412300,2594800,3375000,3380300,3388800,39896200
Intangible Assets Under Development,,,,565900,2237300,1378100,1353200,1454800,854800,771600,797100,1108800,1836300
Intangible Assets,286200,,,,,,,,,,,,
Other Intangible Assets,,17861700,17590500,16575300,50393600,46122400,42377200,38400600,34605800,50123500,45031100,41523700,242799300
Other Non-current Assets,607400,638100,1152500,1156200,893800,775100,310200,236500,259300,224700,153800,418300,309000
Other Financial Assets,,620100,685300,1051200,210400,1461000,1262800,521100,668500,486800,368700,328600,443900
Investment Properties,,,,,,,,,,,,,131000
Total Assets,50698100,79641400,90578800,97020900,142432200,141209200,140097400,140746500,130998400,150118500,150605800,149897400,443119600
Current Liabilities,,,,,,,,,,,,,
Trade Payables,14291300,18277200,22602200,17493200,,,,,,,,,
Total Outstanding Dues of Micro\ Enterprises and Small Enterprises,,,,,,,,,,,161200,231300,1625200
Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,,,,,,20732000,17968900,21950900
Trade Payables Total Outstanding Dues of Micro Enterprises and Small Enterprises,,,,,73400,71400,131900,199600,203600,179600,,,
Trade Payables - Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,20896000,20356200,20468500,16540800,16608400,,,
Trade Payables - Due to Others,,,,,20409000,,,,,,,,
Short-term Borrowings,2104300,3190700,33200,,16256000,9341100,10908500,18843900,18948800,28010800,23336400,18343400,31470700
Lease Liabilities,,,,,,,,264700,147300,183300,200600,303700,371900
"Current Tax Liabilities, Net",,237100,722400,629800,492500,789900,351200,539900,414800,313100,1679300,955700,1208800
Short-term Provisions,1633900,801900,1274200,2388200,3274000,4142200,4185800,4310600,4110300,3937100,4001400,4081300,4987900
Other Financial Liabilities,,3918800,7591800,6144700,10520700,15233800,17537800,3008400,2792700,4209800,2846600,3926200,20055400
Other Current LiabilitiesOther Current Liabilities,3716300,619800,631000,726700,996100,1178800,1070200,1280600,992600,1030900,1295000,1361400,1762500
Total Current Liabilities,21745800,27045500,32854800,27382600,52021700,51653200,54541600,48916200,44150900,54473000,54252500,47171900,83433300
Noncurrent Liabilities,,,,,,,,,,,,,
Long-term Borrowings,7444600,21728700,18500800,22408300,41114600,39129200,32752200,29410700,21232200,24962200,16037800,11917500,116511700
Lease Liabilities,,,,,,,,222000,368200,529300,644600,1458600,1900700
Deferred Tax Liabilities,474800,2282100,1717500,1014100,400,75000,,,1935600,4019400,6560500,8287200,56700400
Minority Interest,4000,4300,4600,4900,5200,,,,,,,,91964000
Provisions,1904300,2074900,2463600,2630400,2866600,2885200,3383400,3696200,3687400,3930600,4446900,5012700,7645500
Other Non-current Liabilities,100300,700,400,100,24200,77100,81800,54600,44200,14600,9600,4600,224000
Other Financial Liabilities,,75600,96100,79200,177600,146000,1106200,75100,50400,208700,92400,138000,855700
Shareholders' Equity,,,,,,,,,,,,,
Common Stock - Par Value,846200,846200,846200,846200,846200,846200,846200,846200,846200,1692300,1692300,1692300,1692300
Reserves & Surplus,18178100,,,,,,,,,,,,
Other Equity,,25583400,34094800,42655100,45375700,46397300,47386000,57525500,58683300,60288400,66869200,74214600,82192000
Total Shareholders Equity,19024300,26429600,34941000,43501300,46221900,47243500,48232200,58371700,59529500,61980700,68561500,75906900,83884300
Total Liabilities & Shareholders Equity,50698100,79641400,90578800,97020900,142432200,141209200,140097400,140746500,130998400,150118500,150605800,149897400,443119600
