,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,323092842.9,225939497.12,884523492.89,213882953.51,606437501.2
Repayment Of Debt,-767178730.0,-1266139116.96,-918217796.0,-613000000.0,-1390148448.22
Issuance Of Debt,741000000.0,926523927.79,625685970.48,569343230.0,940067796.0
Capital Expenditure,-127735066.71,-161072967.23,-63803851.79,-48824111.48,-122076174.58
End Cash Position,1795653438.03,1218184997.46,1581531918.73,1309245786.53,1189884406.71
Beginning Cash Position,1218184997.46,1392479467.78,1309245786.53,1189884406.7,1193265560.31
Effect Of Exchange Rate Changes,-1508819.97,-1118244.62,618600.27,59053.48,876613.84
Changes In Cash,578977260.54,-173176225.71,271667531.93,119302326.35,-4257767.44
Other Cash Adjustment Inside Changein Cash,,,,-0.01,
Financing Cash Flow,-76676626.32,-389761093.91,-619725340.57,-73067461.69,-562709976.53
Net Other Financing Charges,-35892040.19,-30442104.83,-54933870.51,-1679317.36,-76389816.75
Cash Dividends Paid,-14605856.13,-19703799.91,-272259644.54,-27731374.33,-36239507.56
Net Issuance Payments Of Debt,-26178730.0,-339615189.17,-292531825.52,-43656770.0,-450080652.22
Net Long Term Debt Issuance,-26178730.0,-339615189.17,-292531825.52,-43656770.0,-450080652.22
Long Term Debt Payments,-767178730.0,-1266139116.96,-918217796.0,-613000000.0,-1390148448.22
Long Term Debt Issuance,741000000.0,926523927.79,625685970.48,569343230.0,940067796.0
Investing Cash Flow,204825977.25,-170427596.15,-56934472.19,-70337276.94,-170061466.69
Net Other Investing Changes,-137313747.87,7180529.98,743961.42,442428.05,-59276237.46
Net Investment Purchase And Sale,4250000.0,-27300091.33,5759463.35,-25000000.0,1065000.0
Sale Of Investment,4250000.0,-4800091.33,,,1065000.0
Purchase Of Investment,,-22500000.0,-5784936.65,-25000000.0,0.0
Net Business Purchase And Sale,465311216.41,,,,
Sale Of Business,465311216.41,,,,
Net PPE Purchase And Sale,-127421491.29,-150308034.8,-63437896.96,-45779704.99,-111850229.23
Sale Of PPE,313575.42,10764932.43,365954.83,3044406.49,10225945.35
Purchase Of PPE,-127735066.71,-161072967.23,-63803851.79,-48824111.48,-122076174.58
Cash Flowsfromusedin Operating Activities Direct,450827909.61,387012464.35,948327344.68,262707064.99,728513675.78
Taxes Refund Paid Direct,-282522478.89,-215995253.44,-216727347.75,-208489734.17,-176956364.89
Classesof Cash Payments,-2150885624.54,-1960782860.69,-2095544098.29,-2370382188.86,-1869358445.63
Other Cash Paymentsfrom Operating Activities,-518419818.35,-295531283.74,-609961198.86,-353732450.38,-427865062.65
Paymentson Behalfof Employees,-659366208.67,-416084396.79,-375992694.99,-584417014.41,-368987285.64
Paymentsto Suppliersfor Goodsand Services,-973099597.52,-1249167180.16,-1109590204.44,-1432232724.07,-1072506097.34
Classesof Cash Receiptsfrom Operating Activities,2884236013.04,2563790578.48,3260598790.72,2841578988.02,2774828486.3
Other Cash Receiptsfrom Operating Activities,59956036.49,-33275879.67,191704926.99,118896415.48,9642825.18
Receiptsfrom Customers,2824279976.55,2597066458.15,3068893863.73,2722682572.54,2765185661.12
