,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,81626935.84,877504040.47,3179746116.99,-146857813.01,2392777053.97
Repayment Of Debt,-300000000.0,,,,0.0
Issuance Of Debt,299534222.25,1067237319.34,,,0.0
Capital Expenditure,-704818964.87,-1247443799.89,-565533045.9,-702031901.52,-444529975.62
End Cash Position,39682834099.41,40155552697.41,35542605101.16,23631163565.6,24239102117.66
Beginning Cash Position,40155552697.41,39767708127.31,23631163565.6,24239102117.66,21455780225.4
Effect Of Exchange Rate Changes,-349701516.56,-213554804.13,18663509.81,29624153.66,28620064.93
Changes In Cash,-123017081.44,601399374.23,11892778025.75,-637562705.72,2754701827.33
Financing Cash Flow,-185716956.34,-309313019.48,8700554214.33,-661059213.92,-44065975.82
Net Other Financing Charges,-185251178.59,133575168.83,9974684407.13,-661059213.92,-44065975.82
Cash Dividends Paid,,-10125507.65,,,0.0
Net Issuance Payments Of Debt,-465777.75,-432762680.66,,,0.0
Net Long Term Debt Issuance,-465777.75,-432762680.66,,,0.0
Long Term Debt Payments,-300000000.0,,,,0.0
Long Term Debt Issuance,299534222.25,1067237319.34,,,0.0
Investing Cash Flow,-723746025.81,-1214235446.65,-553055351.47,-531677580.31,-38539226.44
Net Investment Purchase And Sale,-29781411.49,21444546.56,10326782.62,168785809.6,392272659.68
Sale Of Investment,518588.51,21444546.56,10326782.62,168785809.6,414953071.18
Purchase Of Investment,-30300000.0,,,,-22680411.5
Net PPE Purchase And Sale,-693964614.32,-1235679993.21,-563382134.09,-700463389.91,-430811886.12
Sale Of PPE,10854350.55,11763806.68,2150911.81,1568511.61,13718089.5
Purchase Of PPE,-704818964.87,-1247443799.89,-565533045.9,-702031901.52,-444529975.62
Cash Flowsfromusedin Operating Activities Direct,786445900.71,2124947840.36,3745279162.89,555174088.51,2837307029.59
Taxes Refund Paid Direct,-698501493.04,-948119918.74,-715654846.73,-652139252.4,-637858808.51
Classesof Cash Payments,-5439403951.1,-4788269347.1,-5360923492.56,-5094623197.38,-4446918843.33
Other Cash Paymentsfrom Operating Activities,-2893460356.21,-2312957687.61,-3144276788.27,-2841684216.42,-2622553193.07
Paymentson Behalfof Employees,-2166754419.69,-1542451252.2,-1653060666.33,-1905586260.31,-1552687461.67
Paymentsto Suppliersfor Goodsand Services,-379189175.2,-932860407.29,-563586037.96,-347352720.65,-271678188.59
Classesof Cash Receiptsfrom Operating Activities,6924351344.85,7861337106.2,9821857502.18,6301936538.29,7922084681.43
Other Cash Receiptsfrom Operating Activities,252626908.49,428722899.5,246001655.43,211428920.53,775417811.64
Receiptsfrom Customers,6671724436.36,7432614206.7,9575855846.75,6090507617.76,7146666869.79
