fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,__period__,company,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
2026-06-30,USD,39857000000.0,13760000000.0,3655000000.0,3655000000.0,3221000000.0,3493000000.0,26097000000.0,,,3447000000.0,3447000000.0,15839000000.0,,,,3391000000.0,,32096000000.0,15646000000.0,2721000000.0,,,4500000000.0,16450000000.0,282000000.0,12092000000.0,4500000000.0,,16874000000.0,8425000000.0,3791000000.0,7757000000.0,,-13969000000.0,-4069000000.0,1181000000.0,2026-06-30,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,USD,40040473000.0,13710162000.0,3741044000.0,3741044000.0,3176038000.0,3393040000.0,26330311000.0,,,3609043000.0,3609043000.0,15822187000.0,,,,3400040000.0,,31808376000.0,13532160000.0,2596031000.0,,,2612031000.0,18276216000.0,280000000.0,14015000000.0,2612000000.0,,16907200000.0,8324098000.0,3708000000.0,8228097000.0,,-13394000000.0,-4069000000.0,1179000000.0,2026-03-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,USD,40748000000.0,13946000000.0,3556000000.0,3556000000.0,3179000000.0,3709000000.0,26802000000.0,,,3781000000.0,3781000000.0,16000000000.0,,,,3502000000.0,,32835000000.0,13456000000.0,2530961000.0,,,1820000000.0,19379000000.0,288000000.0,14986000000.0,1820000000.0,,17381731000.0,9105039000.0,3808000000.0,7909877000.0,,-13762000000.0,58000000.0,1173000000.0,2025-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,USD,39856000000.0,12736000000.0,2203000000.0,2203000000.0,3323000000.0,3810000000.0,27121000000.0,,,3936000000.0,3936000000.0,15945000000.0,,,,3400000000.0,,32602000000.0,11491000000.0,2355000000.0,,,24000000.0,21111000000.0,283000000.0,16766000000.0,24000000.0,,17091000000.0,9112000000.0,3663000000.0,7250000000.0,,-14243000000.0,58000000.0,1164000000.0,2025-09-30,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,USD,40131000000.0,12620000000.0,2161000000.0,2161000000.0,3497000000.0,3564000000.0,27510000000.0,,,4142000000.0,4142000000.0,15949000000.0,,,,3398000000.0,,33297000000.0,11861000000.0,2498000000.0,,,464000000.0,21436000000.0,296000000.0,16763000000.0,464000000.0,,17523000000.0,8899000000.0,3937000000.0,6827000000.0,,-14676000000.0,58000000.0,1161000000.0,2025-06-30,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,USD,38415000000.0,11528000000.0,1697000000.0,1697000000.0,3247000000.0,3384000000.0,26886000000.0,,,4189000000.0,4189000000.0,15477000000.0,,,,3200000000.0,,32146000000.0,11157000000.0,2290000000.0,,,421000000.0,20989000000.0,288000000.0,16230000000.0,421000000.0,,16939000000.0,8446000000.0,4010000000.0,6262000000.0,,-14958000000.0,58000000.0,1159000000.0,2025-03-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,USD,39326000000.0,12552000000.0,3300000000.0,3300000000.0,3007000000.0,3059000000.0,26774000000.0,,,4418000000.0,4418000000.0,15147000000.0,,,,3186000000.0,,33606000000.0,12796000000.0,2203000000.0,,,1781000000.0,20810000000.0,296000000.0,16002000000.0,1781000000.0,,18079000000.0,8812000000.0,4029000000.0,5373000000.0,,-15173000000.0,58000000.0,1133000000.0,2024-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,USD,41758000000.0,12314000000.0,3319000000.0,3319000000.0,3959000000.0,3462000000.0,29444000000.0,,,4756000000.0,4756000000.0,16124000000.0,,,,1574000000.0,,35374000000.0,13797000000.0,2371000000.0,,,2580000000.0,21577000000.0,295000000.0,16400000000.0,2580000000.0,,19275000000.0,8846000000.0,4344000000.0,6065000000.0,,-14956000000.0,58000000.0,1133000000.0,2024-09-30,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,USD,41338000000.0,11632000000.0,2258000000.0,2258000000.0,3927000000.0,3766000000.0,29706000000.0,,,4853000000.0,4853000000.0,16488000000.0,,,,1681000000.0,,34775000000.0,13037000000.0,2366000000.0,,,2094000000.0,21738000000.0,281000000.0,16547000000.0,2094000000.0,,18922000000.0,8577000000.0,4357000000.0,6359000000.0,,-14519000000.0,58000000.0,1133000000.0,2024-06-30,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,USD,42773000000.0,12297000000.0,2991000000.0,2991000000.0,3949000000.0,3456000000.0,30476000000.0,,,5056000000.0,5056000000.0,17007000000.0,,,,1901000000.0,,35230000000.0,13792000000.0,2439000000.0,,,3060000000.0,21438000000.0,294000000.0,16584000000.0,3060000000.0,,19938000000.0,8293000000.0,,7278000000.0,,-13673000000.0,58000000.0,1123000000.0,2024-03-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
