date,Open,High,Low,Close,adjusted_close,Volume,Company,Country,Ticker,__period__,company
2013-12-31,196.75,198.0,195.0,195.8500061035156,184.1307373046875,3426500,Aurobindo Pharma,India,AUROPHARMA.NS,2013-12-31,Aurobindo Pharma
2014-01-31,195.5,238.875,186.1000061035156,235.7749938964844,221.6666717529297,241644478,Aurobindo Pharma,India,AUROPHARMA.NS,2014-01-31,Aurobindo Pharma
2014-02-28,236.0,269.9249877929688,231.6499938964844,262.0750122070312,246.3929138183594,227369416,Aurobindo Pharma,India,AUROPHARMA.NS,2014-02-28,Aurobindo Pharma
2014-03-31,263.0,272.5,241.4499969482422,267.1499938964844,251.1642303466797,129906274,Aurobindo Pharma,India,AUROPHARMA.NS,2014-03-31,Aurobindo Pharma
2014-04-30,269.5,296.8500061035156,263.6000061035156,286.5499877929688,269.4034118652344,92895378,Aurobindo Pharma,India,AUROPHARMA.NS,2014-04-30,Aurobindo Pharma
2014-05-31,289.0,339.8999938964844,286.6000061035156,334.8999938964844,314.8602294921875,110017300,Aurobindo Pharma,India,AUROPHARMA.NS,2014-05-31,Aurobindo Pharma
2014-06-30,331.2000122070312,391.1000061035156,309.5249938964844,366.1000061035156,345.0720825195312,71502388,Aurobindo Pharma,India,AUROPHARMA.NS,2014-06-30,Aurobindo Pharma
2014-07-31,369.0,393.6499938964844,322.2250061035156,353.625,333.3135986328125,76807510,Aurobindo Pharma,India,AUROPHARMA.NS,2014-07-31,Aurobindo Pharma
2014-08-31,353.25,417.4750061035156,352.7250061035156,404.375,381.8946838378906,59033756,Aurobindo Pharma,India,AUROPHARMA.NS,2014-08-31,Aurobindo Pharma
2014-09-30,405.6499938964844,490.3500061035156,381.5,483.125,456.2668151855469,92383580,Aurobindo Pharma,India,AUROPHARMA.NS,2014-09-30,Aurobindo Pharma
2014-10-31,482.5,501.1499938964844,437.5,484.2250061035156,457.3058166503906,46225808,Aurobindo Pharma,India,AUROPHARMA.NS,2014-10-31,Aurobindo Pharma
2014-11-30,486.0,576.2000122070312,478.7000122070312,559.7000122070312,528.5849609375,55531122,Aurobindo Pharma,India,AUROPHARMA.NS,2014-11-30,Aurobindo Pharma
2014-12-31,563.2000122070312,586.0,505.1000061035156,563.5499877929688,532.2207641601562,42865904,Aurobindo Pharma,India,AUROPHARMA.NS,2014-12-31,Aurobindo Pharma
2015-01-31,562.5,626.0,540.0,623.875,589.1920166015625,29802534,Aurobindo Pharma,India,AUROPHARMA.NS,2015-01-31,Aurobindo Pharma
2015-02-28,620.0,636.6500244140625,465.0,516.5750122070312,488.73095703125,61331178,Aurobindo Pharma,India,AUROPHARMA.NS,2015-02-28,Aurobindo Pharma
2015-03-31,542.5,639.9000244140625,526.9000244140625,623.7000122070312,590.081787109375,65124158,Aurobindo Pharma,India,AUROPHARMA.NS,2015-03-31,Aurobindo Pharma
2015-04-30,634.5,716.0999755859375,588.75,642.8250122070312,608.1759643554688,64305702,Aurobindo Pharma,India,AUROPHARMA.NS,2015-04-30,Aurobindo Pharma
2015-05-31,644.9500122070312,706.0,604.5250244140625,680.2000122070312,643.5363159179688,56416160,Aurobindo Pharma,India,AUROPHARMA.NS,2015-05-31,Aurobindo Pharma
2015-06-30,689.75,739.9500122070312,620.0499877929688,732.2000122070312,693.261962890625,52069188,Aurobindo Pharma,India,AUROPHARMA.NS,2015-06-30,Aurobindo Pharma
2015-07-31,731.5,776.6500244140625,695.0750122070312,759.9000244140625,719.4888916015625,39927979,Aurobindo Pharma,India,AUROPHARMA.NS,2015-07-31,Aurobindo Pharma
2015-08-31,759.1500244140625,832.2000122070312,645.4500122070312,737.75,698.9541625976562,47894620,Aurobindo Pharma,India,AUROPHARMA.NS,2015-08-31,Aurobindo Pharma
2015-09-30,741.0999755859375,779.5,675.0,769.0,728.5609130859375,39148949,Aurobindo Pharma,India,AUROPHARMA.NS,2015-09-30,Aurobindo Pharma
2015-10-31,772.25,861.5499877929688,732.5,835.9500122070312,791.990234375,31551139,Aurobindo Pharma,India,AUROPHARMA.NS,2015-10-31,Aurobindo Pharma
2015-11-30,840.0,859.7000122070312,794.5499877929688,826.5999755859375,783.7081298828125,26590279,Aurobindo Pharma,India,AUROPHARMA.NS,2015-11-30,Aurobindo Pharma
2015-12-31,827.9000244140625,891.5,781.2000122070312,881.4000244140625,835.664794921875,32014668,Aurobindo Pharma,India,AUROPHARMA.NS,2015-12-31,Aurobindo Pharma
2016-01-31,876.9000244140625,878.5,766.2000122070312,801.0,759.4366455078125,32442673,Aurobindo Pharma,India,AUROPHARMA.NS,2016-01-31,Aurobindo Pharma
2016-02-29,807.0,807.9000244140625,582.0,679.2000122070312,644.6371459960938,86161428,Aurobindo Pharma,India,AUROPHARMA.NS,2016-02-29,Aurobindo Pharma
2016-03-31,685.0,761.9500122070312,670.2000122070312,729.9000244140625,692.7572631835938,47223527,Aurobindo Pharma,India,AUROPHARMA.NS,2016-03-31,Aurobindo Pharma
2016-04-30,732.0,796.0,731.0499877929688,759.9500122070312,721.278076171875,26920415,Aurobindo Pharma,India,AUROPHARMA.NS,2016-04-30,Aurobindo Pharma
2016-05-31,764.0,822.3499755859375,712.5,788.8499755859375,748.7073974609375,38926377,Aurobindo Pharma,India,AUROPHARMA.NS,2016-05-31,Aurobindo Pharma
2016-06-30,789.0,798.0,667.0499877929688,746.25,708.9176025390625,31709831,Aurobindo Pharma,India,AUROPHARMA.NS,2016-06-30,Aurobindo Pharma
2016-07-31,750.0,813.9500122070312,746.7000122070312,787.75,748.3414306640625,30584634,Aurobindo Pharma,India,AUROPHARMA.NS,2016-07-31,Aurobindo Pharma
2016-08-31,791.25,805.0,729.0,773.4000244140625,734.7094116210938,45037217,Aurobindo Pharma,India,AUROPHARMA.NS,2016-08-31,Aurobindo Pharma
2016-09-30,775.0,882.7999877929688,766.3499755859375,855.4500122070312,812.6546020507812,46657649,Aurobindo Pharma,India,AUROPHARMA.NS,2016-09-30,Aurobindo Pharma
2016-10-31,862.0,895.0,798.5999755859375,809.0999755859375,768.6233520507812,44914372,Aurobindo Pharma,India,AUROPHARMA.NS,2016-10-31,Aurobindo Pharma
2016-11-30,803.0,804.4000244140625,680.0999755859375,743.1500244140625,707.1832275390625,49682768,Aurobindo Pharma,India,AUROPHARMA.NS,2016-11-30,Aurobindo Pharma
2016-12-31,743.4500122070312,743.4500122070312,621.9000244140625,669.2999877929688,636.9072265625,43034727,Aurobindo Pharma,India,AUROPHARMA.NS,2016-12-31,Aurobindo Pharma
2017-01-31,673.0,730.7999877929688,660.0,667.9500122070312,635.6226806640625,30996648,Aurobindo Pharma,India,AUROPHARMA.NS,2017-01-31,Aurobindo Pharma
2017-02-28,666.1500244140625,714.6500244140625,628.25,678.25,645.424072265625,58000147,Aurobindo Pharma,India,AUROPHARMA.NS,2017-02-28,Aurobindo Pharma
2017-03-31,680.25,710.3499755859375,649.9000244140625,675.2000122070312,642.5218505859375,42349839,Aurobindo Pharma,India,AUROPHARMA.NS,2017-03-31,Aurobindo Pharma
2017-04-30,675.5,687.0,604.0999755859375,606.75,577.3846435546875,30328919,Aurobindo Pharma,India,AUROPHARMA.NS,2017-04-30,Aurobindo Pharma
2017-05-31,607.0,626.7999877929688,503.0499877929688,579.6500244140625,551.5963134765625,92305511,Aurobindo Pharma,India,AUROPHARMA.NS,2017-05-31,Aurobindo Pharma
2017-06-30,582.75,692.6500244140625,575.25,684.5999755859375,652.83154296875,76420340,Aurobindo Pharma,India,AUROPHARMA.NS,2017-06-30,Aurobindo Pharma
2017-07-31,685.0,794.7000122070312,669.5,734.4500122070312,700.3681640625,62778095,Aurobindo Pharma,India,AUROPHARMA.NS,2017-07-31,Aurobindo Pharma
