,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marksans Pharma Limited | Income Statement (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSEI: MARKSANS (MI KEY: 4812313; SPCIQ KEY: 20904084),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ4,2015 FQ1,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ2,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ2,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ2,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ2,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ2,2020 FQ3,2020 FQ4,2021 FQ1,2021 FQ2,2021 FQ3,2021 FQ4,2022 FQ1,2022 FQ2,2022 FQ3,2022 FQ4,2023 FQ1,2023 FQ2,2023 FQ3,2023 FQ4,2024 FQ1,2024 FQ2,2024 FQ3,2024 FQ4,2025 FQ1,2025 FQ2,2025 FQ3,2025 FQ4,2026 FQ1,2026 FQ2,2026 FQ3,2026 FQ4,2027 FQ1
Period Ended,2013-06-30 00:00:00,2013-09-30 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Millions,Millions,Millions,Millions,Millions,Millions,Absolute,Millions,Millions,Millions,Absolute,Millions,Millions,Millions,Absolute,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Sales/income from Operations (Net of Excise Duty),1410.31,1613.54,1588.63,2023.95,2104.75,2132.94,1705243926,2101.59,2555.3,2174.07,2102311868,1867.47,1804.26,2152.39,1847493428,2210.56,2738.09,2184.34,1993.18,2352.53,2690.41,2483.65,2474.09,2450.34,2563.96,2876.49,3353.49,3311.52,3564.69,3583.63,3301.98,3489.62,3612.01,3626.33,4180.43,4337.68,4525.65,4798.29,4859.76,5000.33,5312.36,5861.27,5600.13,5906.18,6419.23,6818.46,7084.57,6199.89,7204.09,7544.27,8561.14,8407.96
Other Income (net) - Refer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,,,,215.72,,,
Other Income,,,,,,,,,,,88671139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,27.22,0.25,7.32,0.21,0.64,0.2,32381466,22.99,0.13,1.04,-24170000,0.1,66.99,0.09,3042020,0.43,,3.88,,32.32,-7.97,1.57,97.31,21.76,78.81,0.26,0.26,1.82,36.68,-31.68,60.12,58.84,85.67,120.57,153.44,164.99,141.53,176.52,110.09,100.96,189.96,48,165.29,149.49,,361.14,153.38,56.41,,201.44,351.74,254.04
Total Revenues,1437.53,1613.79,1595.95,2024.16,2105.39,2133.14,1737625392,2124.58,2555.43,2175.11,2166813007,1867.57,1871.25,2152.48,1850535448,2210.99,2738.09,2188.22,1993.18,2384.85,2682.44,2485.22,2571.4,2472.1,2642.77,2876.75,3353.75,3313.34,3601.37,3551.95,3362.1,3548.46,3697.68,3746.9,4333.87,4502.67,4667.18,4974.81,4969.85,5101.29,5502.32,5909.27,5765.42,6055.67,6418.52,7179.6,7237.95,6256.3,7419.81,7745.71,8912.88,8662
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Materials Consumed,-431.39,-587.04,-620.05,-726.28,-727.48,-855.86,-467818088,-729.72,-966.95,-752.01,-964019496,-913.15,-913.87,-921.34,-906944505,-1064.97,-1077.55,-797.25,-546.86,-1005.06,-1072.94,-1321.29,-721.28,-706.01,-798.46,-754.8,-1454.05,-915.99,-1176.36,-1118.51,-750.43,-1133.43,-1702.1,-1330.74,-1240.43,-1807.44,-1401.88,-1798.38,-1122,-1517.56,-1746.97,-1928.72,-1483.75,-1613.07,-2143.85,-1892.56,-1880.75,-1926.94,-2277.2,-2738.23,-2649.72,-2206.69
Purchase of Stock in Trade,-342.11,-339.95,-417.38,-443.89,-396.15,-374.47,-475433595,-463.31,-365.83,-338.9,-467790503,-349.68,-234.45,-357.03,-470329970,-394.68,-551.53,-164.05,-428.93,-240.19,-252.38,-113.6,-452.32,-186.94,-420.64,-531.25,-67.18,-434.64,-527.18,-666.66,-1487.22,-63.27,,-205.45,-1034.41,-342.26,-543.19,-638.39,-1623.97,-1147.09,-852.88,-813.09,-1629.79,-1672.38,-1343.23,-1119.52,-1609.64,-1715.47,-1061.41,-269.89,-1498.11,-1384.49
"Changes in Inventories of Finished Goods, Work in Progress and Stock in Trade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.05,,,,,,,,,,,,
Purchase of Stock in Trade Change in Inventories of Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-329.41,,,,,,,,,,,,,,,,,,,
"Changes in Inventories of Finished Goods, Work in Progress and Stock in Trade",-15.58,4.52,23.51,-24.49,-58.97,56.3,40168069,17.73,-30.31,-19.94,-15873865,165,47.58,75.64,191126746,196.4,-132.74,-183.23,-85.89,86.35,13.74,152.92,-53.99,-349.8,-107.38,-115.38,43.09,-45.04,66.65,370.76,,-426.27,,-139.08,,1.49,-287.05,41.94,307.56,237.05,72.66,13.62,415.3,667.64,903.1,28.66,238.18,1024.29,252.7,-154.11,241.3,156.52
Employee Benefit Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-682.38,,,,,,,,,,,,
Work in Process and Stock in Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970.41,,277.7,,158.7,,,,,,,,,,,,,,,,,
Employee Benefit Expense,-151.8,-185.34,-163.5,-180.4,-187.09,-177.18,-181395700,-182.39,-365.27,-365.42,-311093964,-382.64,-352.21,-383.11,-379019138,-374.01,-359.9,-361.71,-381.86,-370.79,-428.54,-363.31,-428.02,-411.48,-406.32,-404.55,-461.81,-427.03,-438.78,-478.56,-628.87,-490.45,-547.92,-561.02,-603.63,-566.2,-596.72,-621.89,-608.9,-682.38,-711.29,-745.26,-797.47,-804.84,-841.56,-884.42,-972.17,-983.85,-1038.03,-1119.9,-1067.56,-1142.94
Other Expenses,-232.08,-209.42,-175.73,-221.13,-226.11,-257.32,-234667127,-242.82,-313.26,-393.02,-300386336,-252.32,-349.47,-298.62,-239342741,-283.35,-370.45,-389.61,-509.77,-467.98,-579.08,-476.5,-661.99,-471.91,-495.49,-597.66,-721.56,-788.63,-657.46,-780.07,-452.14,-602.83,-709.3,-812.01,-824.26,-894.66,-894.14,-1015.13,-716.96,-870.69,-934.39,-1057.6,,-1199.17,-1525.57,-1645.62,-1590.84,-1596.69,-1635.22,-1654.72,-1632.84,-1700.01
Depreciation and Amortization Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-136.6,,,,,,,,,,,,
Other Expenses-Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1008,,,,,,,,,
Depreciation and Amortization Expenses,-32.05,-31.75,-36.02,-40.38,-39.64,-39.71,-41613005,-45.24,-54.82,-97.58,-83620397,-48.2,-58.99,-118.37,-75379974,-74.46,-69.75,-62.26,-61.92,-59.64,-55.37,-50.37,-62.66,-47.33,-49.76,-73.27,-96.26,-72.49,-189.92,-85.77,-13.33,-74.71,-73.87,-85.59,-213.57,-111.15,-140.52,-127.42,-139.44,-136.6,-175.51,-220.03,-210.55,-204.43,-195.1,-206.88,-227.44,-231.01,-269.16,-243.27,-242.87,-248.64
Finance Costs,-32.6,-39.94,-37.09,-35.38,-47.87,-63.41,-13795689,-29.81,-28.65,-23.4,-19691680,-12.77,-10.61,-18.18,-26192177,-19.35,-30.43,-17.65,-34.73,-23.97,-30.63,-17.56,-24.39,-22.51,-28.11,-16.49,-20.35,-15.5,-19.34,-16.75,-28.28,-9.66,-15.01,-9.51,-50.28,-18,-25.36,-23.52,-24.4,-15.76,-16.26,-31.61,-48.41,-29.24,-26.34,-26.67,-34.35,-60.65,-58.15,-59.35,-63.1,-70.04
Ciq Balancing Calc.-expenses,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings before Taxes,199.92,224.87,169.69,352.21,422.08,421.49,363070258,449.02,430.34,184.84,4336766,73.81,-0.77,131.47,-55546311,196.57,145.74,212.46,-56.78,303.57,277.24,295.51,166.75,276.12,336.61,383.35,575.63,614.02,658.98,776.39,972.24,747.84,597.77,603.5,525.99,764.45,778.32,792.02,1041.74,968.26,1137.68,1126.58,1002.75,1200.18,1245.97,1432.59,1160.94,765.98,1333.34,1506.24,1999.98,2065.71
Taxes and Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-251.44,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.44,,,,,,,,,,,,
