organized_path,original_archive_member,original_relative_path,category,subcategory,size_bytes
01_INDIAN_COMPANIES/Glenmark_Pharmaceuticals/01_FINANCIAL_DATA/Annual/07baa29374be1c9a__Glenmark_Pharmaceuticals_Balance_Sheet_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/07baa29374be1c9a__Glenmark_Pharmaceuticals_Balance_Sheet_Years.csv,01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/07baa29374be1c9a__Glenmark_Pharmaceuticals_Balance_Sheet_Years.csv,01_FINANCIAL_DATA,Annual,7355
01_INDIAN_COMPANIES/Glenmark_Pharmaceuticals/01_FINANCIAL_DATA/Annual/de7655993dfc437d__Glenmark_Pharmaceuticals_Cash_Flow_Years.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/de7655993dfc437d__Glenmark_Pharmaceuticals_Cash_Flow_Years.csv,01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/de7655993dfc437d__Glenmark_Pharmaceuticals_Cash_Flow_Years.csv,01_FINANCIAL_DATA,Annual,8346
01_INDIAN_COMPANIES/Glenmark_Pharmaceuticals/01_FINANCIAL_DATA/Annual/ed4e4721a2ca6f46__Glenmark_Pharmaceuticals_yfinance_annual_income.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/ed4e4721a2ca6f46__Glenmark_Pharmaceuticals_yfinance_annual_income.csv,01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/ed4e4721a2ca6f46__Glenmark_Pharmaceuticals_yfinance_annual_income.csv,01_FINANCIAL_DATA,Annual,4202
01_INDIAN_COMPANIES/Glenmark_Pharmaceuticals/01_FINANCIAL_DATA/Interim/6fa2be95ca66b86b__Glenmark_Pharmaceuticals_Cash_Flow_YTD.csv,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/6fa2be95ca66b86b__Glenmark_Pharmaceuticals_Cash_Flow_YTD.csv,01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/6fa2be95ca66b86b__Glenmark_Pharmaceuticals_Cash_Flow_YTD.csv,01_FINANCIAL_DATA,Interim,5572
01_INDIAN_COMPANIES/Glenmark_Pharmaceuticals/01_FINANCIAL_DATA/Other/05217259b1ae1e10__Glenmark_Pharmaceuticals_Balance.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/05217259b1ae1e10__Glenmark_Pharmaceuticals_Balance.xlsx,01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/05217259b1ae1e10__Glenmark_Pharmaceuticals_Balance.xlsx,01_FINANCIAL_DATA,Other,3279
01_INDIAN_COMPANIES/Glenmark_Pharmaceuticals/01_FINANCIAL_DATA/Other/1790f122c53dcbea__Glenmark_Pharmaceuticals.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/1790f122c53dcbea__Glenmark_Pharmaceuticals.xlsx,01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/1790f122c53dcbea__Glenmark_Pharmaceuticals.xlsx,01_FINANCIAL_DATA,Other,453579
01_INDIAN_COMPANIES/Glenmark_Pharmaceuticals/01_FINANCIAL_DATA/Other/1ade01d2811f18aa__22Entities_Report_08-16-2026083755842.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/1ade01d2811f18aa__22Entities_Report_08-16-2026083755842.xlsx,01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/1ade01d2811f18aa__22Entities_Report_08-16-2026083755842.xlsx,01_FINANCIAL_DATA,Other,47011
01_INDIAN_COMPANIES/Glenmark_Pharmaceuticals/01_FINANCIAL_DATA/Other/2e450facda9b02b4__Glenmark_Pharmaceuticals_Cashflow.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/2e450facda9b02b4__Glenmark_Pharmaceuticals_Cashflow.xlsx,01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/2e450facda9b02b4__Glenmark_Pharmaceuticals_Cashflow.xlsx,01_FINANCIAL_DATA,Other,3279
01_INDIAN_COMPANIES/Glenmark_Pharmaceuticals/01_FINANCIAL_DATA/Other/3929c344bd99dace__22Entities_Report_08-16-2026082729831.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/3929c344bd99dace__22Entities_Report_08-16-2026082729831.xlsx,01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/3929c344bd99dace__22Entities_Report_08-16-2026082729831.xlsx,01_FINANCIAL_DATA,Other,40740
01_INDIAN_COMPANIES/Glenmark_Pharmaceuticals/01_FINANCIAL_DATA/Other/b7ff57f433fa298f__Glenmark_Pharmaceuticals_Income.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/b7ff57f433fa298f__Glenmark_Pharmaceuticals_Income.xlsx,01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/b7ff57f433fa298f__Glenmark_Pharmaceuticals_Income.xlsx,01_FINANCIAL_DATA,Other,3278
01_INDIAN_COMPANIES/Glenmark_Pharmaceuticals/01_FINANCIAL_DATA/Other/c8bbe5e158a87cad__22Entities_Report_08-16-2026091001877.xlsx,THESIS_FINAL_MASTER_2026-09-02_191153/01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/c8bbe5e158a87cad__22Entities_Report_08-16-2026091001877.xlsx,01_EVIDENCE/Indian/Glenmark_Pharmaceuticals/c8bbe5e158a87cad__22Entities_Report_08-16-2026091001877.xlsx,01_FINANCIAL_DATA,Other,15339
