Total Revenues,13592700,14372700,14444900,15623300,14731300,13711000,14454800,15365400,14457000,14919100,14005900,15180700,14582100,14242600,14967600,16519500,16028600,16491300,20709800,22748700,20881200,22733200,24061200,23790000,21915600,22781900,15212000,15858400,11599800,15948000,17749300,15864700,16385400,16619000,13164400,15245700,14630,16126,15620,16824,15955,16902,17129,17730,17457,17740,18309,19407,19127,19762,21430,23137,22493
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Materials Consumed,-4930300,-5501500,-5732900,-5756200,-5868700,-5589700,-5809100,-5092600,-5163100,-5266700,-4847400,-4673800,-4462300,-4124500,-4672100,-6034700,-5493800,-5647300,-7828500,-7811900,-7823900,-8321300,-8816700,-7866100,-7826000,-7791000,-3661600,-3245900,-2460100,-3710600,-3810800,-3506000,-3699000,-3381800,-2821700,-3584500,-3741,-4396,-4104,-4423,-4281,-4644,-4315,-4973,,-4690,,-5840,,-5649,,-6428,
Power and Fuel,-917200,-1025400,-991000,-963800,-989200,-1000600,-989100,-951500,-1021200,-993100,-866300,-786500,-806400,-772400,-828000,-929800,-904600,-1028900,-1196900,-1118700,-997000,-1190700,-1346800,-1129300,-1119900,-1248000,-284700,-264800,-188700,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Materials Consumed/trading Items,-844400,-849400,-869700,-925700,-938800,-599600,-520700,-881400,-395700,-393900,-305000,-533100,-367200,-451000,-611800,-423600,-382200,-517400,-794200,-734400,-591100,-714000,-578700,-525300,-495700,-554000,-271700,-857500,-327700,-493200,-494300,-361100,-488000,-463300,-546300,-518600,-584,-625,-813,-500,-571,-584,-718,-539,-618,-693,-812,-848,-730,-736,-820,-845,-869
Expenses a Cost of Materials Consumed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4653,,-4670,,-5205,,-5921,,-6383
"Change in Inventories of Finished Goods, Work in Progress and Traded Goods",-42300,648900,649900,-267000,-384900,126700,104600,-1162800,188600,357500,335800,-478000,188100,22400,388000,553700,40500,88700,754700,-361900,452600,263800,637300,-1335000,770200,612700,356600,37700,374000,-268000,-278900,-23400,580900,,633900,-44500,455,190,136,-374,-349,-345,-326,238,-346,-165,-262,427,-247,420,-422,140,-235
"Changes in Inventories of Finished Goods, Stock in Trade and Work in Progress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-547100,,,,,,,,,,,,,,,,,,,
Staff Cost,-2560800,-2843100,-2810700,-2837100,-2722200,-2712100,-2717300,-2751200,-2727000,-2836200,-2817200,-2870600,-2959000,-3014100,-3091600,-3244600,-3103200,-3688000,-4229300,-4538300,-4515800,-4779600,-4996600,-4967600,-5041300,-5221900,-4637700,-4901100,-4772400,-4876900,-4821000,-4758500,-4991700,-5093100,-5245400,-5103700,-5292,-5346,-5679,-5343,-5477,-5318,-5815,-5550,-5529,-5643,-5601,-5906,-5911,-6362,-7064,-7669,-7535
Excise Duty on Sales,,,,,,,,,,-399600,-339200,-310200,-343900,-338400,-334200,-432400,-397500,-2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Depreciation, Amortization and Impairment Expenses",-682200,-710200,-732700,-686600,-730500,-691800,-795100,-662100,-702100,-751100,-746600,-1267600,-715200,-720100,-726500,-752200,-724800,-790100,-818200,-1817400,-880000,-894800,-984000,-950200,-1026900,-1168400,-835400,-980700,-816800,-850900,-959400,-862400,-880400,-997800,-933300,-1005500,-946,-939,-943,-2712,-897,-966,-946,-1010,-907,-914,-913,-952,-981,-1048,-1207,-1168,-1273
Share of Profit/loss of an Associate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31000,143500,-99600,-13900,,13400,-1,-27,-17,168,-14,90,131,34,,,,,,,,,
Share of Loss of an Associate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-3,-1,-1,-1,-1,,
"Income(Loss) from Equity Investments, Pre-tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
Other Income,60400,39800,40000,50400,41500,264200,60500,58300,38000,44800,28500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance Costs,-804000,-829500,-853700,-750000,-778900,-959800,-960700,-854000,-911600,-921400,-886100,-994400,-827700,-799600,-981900,-801900,-687300,-660100,-770600,-724800,-508100,-542700,-531300,-615900,-725800,-716400,-488300,-469600,-479300,-464600,-463700,-433400,-346200,-347400,-366200,-395100,-399,-420,-507,-556,-619,-661,-713,-730,-710,-610,,-527,-490,-502,,-565,-542
(Ej Finance Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-556,,,,-561,,
Other Expenditure,-1918700,-2076800,-2177100,-2415300,-2372400,-2825800,-2670000,-2051500,-2087900,-2155700,-2108600,-2576800,-2106900,-2112100,-2448500,-2853000,-2343600,-2564700,-3215000,-3375700,-2935300,-3451300,-3736900,-4452800,-3759900,-3772600,-2576500,-2076600,-2392700,-3067000,-3380800,-3402600,-3996300,-3694200,-3183400,-3550500,-3431,-3631,-3606,-3948,-3495,-3494,-3417,-4048,-3656,-3438,-3998,-3667,-4018,-3923,-4103,-4705,-4792
Exceptional Items,-1111800,-1502100,105100,363900,-186700,46300,-1900,-338700,3700,6000,-1800,,,,,,,,,,-218900,-84500,-151400,-2347600,,,-329400,,,,-108900,-103400,,,,,,-568,,,,,,-1689,,,,-33,,,,-137,
Exceptional Expenses and Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959,-142,,,,-58,,,
B Exceptional expenses/fincome),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-189,,,,-397,,
Earnings before Taxes,-158600,-276600,1072100,1435900,-199500,-231200,156000,677900,1678700,1609700,1452000,689700,2181600,1932800,1661000,1601000,2032100,1681300,2611800,2265600,2863700,3018100,3556100,-399800,2690300,2922300,2483300,3099900,536100,2216800,3400500,2557400,2465100,2080400,702300,1056700,691,364,87,-864,252,980,1010,-537,4997,1444,1305,2060,1544,1903,934,1760,864
Taxes and Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,-314300,-518000,488200,-352300,293300,-645300,-202200,-250600,-375400,-361700,-235800,-679400,-542400,-497200,-479900,-110700,-595000,-426600,-483400,-741600,-860000,-920400,-880900,-606700,-840500,-428400,-901800,-977300,-182200,-465800,-945100,-1061200,-652500,-581800,-111800,-408700,-389,-926,-284,-532,-143,-351,-451,-1081,-261,-400,-323,-1148,-375,-361,-216,-655,-296
Provision for Income Tax,,,,,,,,,,,,-110100,,,,,,,,,,,,,,,,,,-282000,-266500,230600,-207700,-72200,-82500,-57100,166,611,36,391,-49,-8,105,1000,82,-19,25,601,-144,-343,-160,88,-4
Provision for Income Tax,,,,,,,,,,,,208400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest (After Tax),-53300,-11200,-126000,-95500,-46000,-64600,-65400,,16000,16200,13900,4000,-24200,10600,12900,11000,34300,27900,-3000,24700,21300,6400,-66800,13600,,,,,,-900,1000,2500,700,2000,1900,4600,3,5,5,26,4,4,4,32,3,3,2,23,4,4,1,1,1
Earnings of Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,22700,-158700,-147700,-216400,-269000,,,,,,,,,,,,,,,,,,,,,
Earnings of Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,459600,684900,919900,1125800,678700,,,,,,,,,,,,,,,,,,,,,
Net Income (Loss),-526200,-805800,1434300,988100,47800,-941100,-111600,427300,1319300,1264200,1230100,112600,1615000,1446200,1194000,1501300,1471400,1282600,2125400,1548700,2025000,2104100,2608400,-992900,1849800,2493900,2033800,2604900,880100,2240300,3099300,2139000,1605600,1428400,509900,595500,471,54,-156,-979,64,625,668,-586,4821,1028,1009,1536,1029,1203,559,1194,565
Supplementary Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),1696800,2015200,1780700,1771600,724600,418100,1058100,1812300,2548600,2480300,2311400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS - Continuing Operations,-3.3,-5.06,9,6.2,0.3,-5.91,-0.7,2.68,8.28,8.11,7.9,0.72,10.39,9.29,7.66,9.63,9.44,8.23,13.64,9.94,13,13.5,16.74,-6.38,11.61,15.66,9.93,13.32,2.23,9.21,13.75,10.86,10.09,8.97,3.2,3.74,2.96,0.34,-0.98,-6.15,0.4,3.94,4.22,-3.69,30.44,6.47,6.37,9.71,6.49,7.59,3.52,7.55,3.57
Basic EPS - Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,3.03,3.3,4.85,5.71,2.57,,,,,,,,,,,,,,,,,,,,,
Basic Earnings Per Share – Total,,,,,,,,,,,,,,,,,,,,,,,,,,,12.77,16.35,5.53,14.06,19.46,13.43,,,,,,,,,,,,,,,,,,,,,
Diluted EPS - Continuing Operations,-3.3,-5.06,9,6.2,0.3,-5.91,-0.7,2.68,8.28,8.1,7.89,0.72,10.38,9.28,7.66,9.63,9.44,8.23,13.64,9.94,13,13.5,16.74,-6.38,11.61,15.66,9.93,13.32,2.23,9.21,13.75,10.86,10.09,8.97,3.2,3.74,2.96,0.34,-0.98,-6.15,0.4,3.94,4.2,,30.35,6.46,6.36,9.68,6.47,7.57,3.52,7.52,3.56
Diluted EPS - Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,3.03,3.3,4.85,5.71,2.57,,,,,,,,,,,,,,,,,,,,,
Diluted Earnings Per Share – Total,,,,,,,,,,,,,,,,,,,,,,,,,,,12.77,16.35,5.53,14.06,19.46,13.43,,,,,,,,,,,,,,,,,,,,,
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
