company,region,domain,frequency,rows,columns,earliest_period,latest_period,input_tables,input_rows,duplicate_rows_removed
Glenmark Pharmaceuticals,Indian,FINANCIAL,UNKNOWN,432,58,,,6,473,41
Glenmark Pharmaceuticals,Indian,STOCK,ANNUAL,14,12,2013-12-31,2026-12-31,1,14,0
Glenmark Pharmaceuticals,Indian,STOCK,DAILY,3120,12,2013-12-31,2026-08-19,1,3120,0
Glenmark Pharmaceuticals,Indian,STOCK,MONTHLY,153,12,2013-12-31,2026-08-31,1,153,0
Jiangsu Hengrui Pharma,Non-Indian,FINANCIAL,UNKNOWN,416,56,,,7,479,63
Jiangsu Hengrui Pharma,Non-Indian,STOCK,DAILY,3070,12,2014-01-02,2026-08-20,1,3070,0
Jubilant Pharmova,Indian,FINANCIAL,UNKNOWN,495,60,,,6,535,40
Jubilant Pharmova,Indian,STOCK,ANNUAL,14,12,2013-12-31,2026-12-31,1,14,0
Jubilant Pharmova,Indian,STOCK,DAILY,3119,12,2013-12-31,2026-08-19,1,3119,0
Jubilant Pharmova,Indian,STOCK,MONTHLY,153,12,2013-12-31,2026-08-31,1,153,0
Laboratorios Rovi,Non-Indian,FINANCIAL,ANNUAL,88,20,2016-12-31,2025-12-31,1,88,0
Lupin,Indian,FINANCIAL,UNKNOWN,439,59,,,6,479,40
Lupin,Indian,STOCK,ANNUAL,14,12,2013-12-31,2026-12-31,1,14,0
Lupin,Indian,STOCK,DAILY,3120,12,2013-12-31,2026-08-19,1,3120,0
Lupin,Indian,STOCK,MONTHLY,153,12,2013-12-31,2026-08-31,1,153,0
Marksans Pharma,Indian,FINANCIAL,UNKNOWN,427,59,,,6,467,40
Marksans Pharma,Indian,STOCK,DAILY,8970,14,2002-07-19,2026-09-01,2,8970,0
Merck & Co.,Non-Indian,FINANCIAL,ANNUAL,20912,12,2010-01-01,2026-01-01,2,20912,0
Merck & Co.,Non-Indian,FINANCIAL,UNKNOWN,354,59,,,7,422,68
Merck & Co.,Non-Indian,STOCK,ANNUAL,13,12,2014-12-31,2026-12-31,1,13,0
Merck & Co.,Non-Indian,STOCK,DAILY,6354,12,2013-12-31,2026-08-20,2,6354,0
Merck & Co.,Non-Indian,STOCK,MONTHLY,152,12,2014-01-31,2026-08-31,1,152,0
Natco Pharma,Indian,FINANCIAL,UNKNOWN,503,59,,,6,542,39
Natco Pharma,Indian,STOCK,ANNUAL,14,12,2013-12-31,2026-12-31,1,14,0
Natco Pharma,Indian,STOCK,DAILY,3120,12,2013-12-31,2026-08-19,1,3120,0
Natco Pharma,Indian,STOCK,MONTHLY,153,12,2013-12-31,2026-08-31,1,153,0
Novartis,Non-Indian,FINANCIAL,UNKNOWN,384,59,,,7,452,68
Novartis,Non-Indian,STOCK,DAILY,6354,12,2013-12-31,2026-08-19,2,6354,0
Novartis,Non-Indian,STOCK,MONTHLY,152,12,2014-01-31,2026-08-31,1,152,0
Pfizer,Non-Indian,FINANCIAL,ANNUAL,24475,12,2014-01-01,2026-01-01,2,24475,0
Pfizer,Non-Indian,FINANCIAL,UNKNOWN,358,58,,,7,422,64
Pfizer,Non-Indian,STOCK,ANNUAL,13,12,2014-12-31,2026-12-31,1,13,0
Pfizer,Non-Indian,STOCK,DAILY,6354,12,2013-12-31,2026-08-20,2,6354,0
Pfizer,Non-Indian,STOCK,MONTHLY,152,12,2014-01-31,2026-08-31,1,152,0
Sanofi,Non-Indian,FINANCIAL,UNKNOWN,337,54,,,7,400,63
Sanofi,Non-Indian,STOCK,ANNUAL,13,12,2014-12-31,2026-12-31,1,13,0
Sanofi,Non-Indian,STOCK,DAILY,6411,12,2013-12-31,2026-08-19,2,6411,0
Sanofi,Non-Indian,STOCK,MONTHLY,152,12,2014-01-31,2026-08-31,1,152,0
Strides Pharma Science,Indian,FINANCIAL,UNKNOWN,618,55,,,6,661,43
Strides Pharma Science,Indian,STOCK,DAILY,8989,14,2002-06-26,2026-09-01,2,8989,0
Sun Pharmaceutical,Indian,FINANCIAL,UNKNOWN,392,58,,,6,432,40
Sun Pharmaceutical,Indian,STOCK,ANNUAL,14,12,2013-12-31,2026-12-31,1,14,0
Sun Pharmaceutical,Indian,STOCK,DAILY,3120,12,2013-12-31,2026-08-19,1,3120,0
Sun Pharmaceutical,Indian,STOCK,MONTHLY,153,12,2013-12-31,2026-08-31,1,153,0
Teva Pharmaceutical,Non-Indian,FINANCIAL,ANNUAL,60,91,2006-12-31,2025-12-31,3,60,0
Teva Pharmaceutical,Non-Indian,FINANCIAL,QUARTERLY,243,91,2006-06-30,2026-06-30,3,243,0
Teva Pharmaceutical,Non-Indian,FINANCIAL,UNKNOWN,354,57,,,7,423,69
Teva Pharmaceutical,Non-Indian,STOCK,ANNUAL,13,12,2014-12-31,2026-12-31,1,13,0
Teva Pharmaceutical,Non-Indian,STOCK,DAILY,6354,12,2013-12-31,2026-08-20,2,6354,0
Teva Pharmaceutical,Non-Indian,STOCK,MONTHLY,152,12,2014-01-31,2026-08-31,1,152,0
Torrent Pharmaceuticals,Indian,FINANCIAL,UNKNOWN,361,58,,,6,401,40
Torrent Pharmaceuticals,Indian,STOCK,ANNUAL,14,12,2013-12-31,2026-12-31,1,14,0
Torrent Pharmaceuticals,Indian,STOCK,DAILY,3120,12,2013-12-31,2026-08-19,1,3120,0
Torrent Pharmaceuticals,Indian,STOCK,MONTHLY,153,12,2013-12-31,2026-08-31,1,153,0
Viatris,Non-Indian,FINANCIAL,UNKNOWN,312,59,,,7,375,63
Viatris,Non-Indian,STOCK,DAILY,3177,12,2013-12-31,2026-08-19,1,3177,0
Zydus Lifesciences,Indian,FINANCIAL,UNKNOWN,455,60,,,6,495,40
Zydus Lifesciences,Indian,STOCK,ANNUAL,14,12,2013-12-31,2026-12-31,1,14,0
Zydus Lifesciences,Indian,STOCK,DAILY,3120,12,2013-12-31,2026-08-19,1,3120,0
Zydus Lifesciences,Indian,STOCK,MONTHLY,153,12,2013-12-31,2026-08-31,1,153,0
