Other Operating Revenue,59300,66000,61200,59400,65100,79000,81,73,560,110,109,114,,,,,,,,,,,,,,,,,,,,,,,,,,,758,614,319,697,4050,533,568,,484,589,318,,500,323,442
Total Revenues,7006900,7408100,7072800,7285300,7253200,7575900,7692,8377,8139,7962,8071,9727,10329,9925,10918,9743,9877,10194,10918,12370,11926,13754,15664,15570,14830,16057,17526,16206,17121,17653,18853,20475,18078,19453,22225,24761,22174,23842,30197,39288,35161,36202,45192,39657,45674,36229,38562,44539,40216,43885,42903,45691,43905
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8601,,,,,,,,
Consumption of Raw Materials,-2698200,-2797100,-2733800,-2424500,-2587900,-3309500,-3149,-2923,-2830,-3392,-3103,-3078,,,,,,,,,,,,,,,,-5192,-4991,-6512,-6608,-6191,-7028,-6034,-7599,-7478,-7450,-9582,-10736,-4143,-10256,-11660,-14025,,,-10094,-12930,-11142,-12240,-13675,-13273,-13588,-14241
Excise Duty,,,,,,,,,,-75,-72,-118,-96,-83,-68,-58,-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Materials Consumed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14778,,,,,,,,,
Purchase of Traded Goods,-232700,-361800,-360100,-246100,-183400,-264900,-308,-353,-225,-242,-308,15,-589,-556,-481,-306,-504,-718,-697,-409,-280,-434,-359,-130,-189,-249,-197,-219,-348,-216,-175,-297,-488,-334,-293,-496,-165,-698,-374,-5024,-2775,-3720,-333,1,-4085,-491,-855,-835,-8371,-1350,-1679,-2226,-3819
Cost of Raw Material/packing Material Consumed,,,,,,,,,,,,,-2751,-3260,-3808,-3405,-3547,-3077,-3587,-4239,-4411,-4369,-5540,-5540,-5032,-5409,-5416,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Inventories of Finished Goods and Work in Progress,-105700,209200,146400,-255700,-139500,475700,281,-99,-159,446,452,-480,-566,361,610,285,456,19,46,-104,352,336,618,791,1043,920,137,-92,-289,1367,1124,699,1395,717,763,-309,587,2761,1314,-3121,935,4110,2040,,,-1241,192,-2752,6560,-445,1559,1821,3384
Changes in Inventory (Expense Block),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,,,,,,,,
"Changes in Inventories of Finished Goods, Work in Progress and Stock in Trade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482,,,,,,,,,
Employee Benefit Expense,-1153000,-1131000,-1154600,-1224000,-1254900,-1353800,-1360,-1366,-1483,-1431,-1522,-1665,-1785,-1804,-1942,-1939,-2133,-2255,-2353,-2570,-2614,-2889,-2944,-3206,-3410,-3533,-3761,-3884,-3937,-4319,-4633,-4521,-4360,-4788,-4950,-4703,-5126,-5403,-5588,-5693,-5793,-6224,-7208,-7416,-7554,-7896,-7883,-8111,-8331,-8877,-8751,-9121,-9161
Research and Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,,,,,,,,,,,,,,,,,,
Recovery of Product Development Costs from Co Development Partners,235700,453000,543600,455900,179100,429200,368,344,275,353,375,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery of Cost from Co- Development Partners (net),,,,,,,,,,,,,333,443,379,128,374,376,644,353,620,832,616,631,678,821,871,1088,788,849,882,988,811,900,,1702,1815,957,1132,18,,39,13,737,321,444,341,370,346,132,531,128,16
Less Recovery of Cost from Co-development Partners (net),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,
Other Expenses,-1532600,-2021800,-1756100,-1835400,-1527200,-1822200,-1925,-2128,-1634,-1930,-2045,-2512,-1835,-2242,-2373,-2141,-1999,-2208,-2415,-2396,-2527,-3290,-3992,-3804,-3304,-4195,-4360,-4090,-4028,-4753,-5166,-4742,-4043,-4407,-6132,-6885,-7062,-6525,-8716,-9803,-9242,-9752,-10756,-10038,-9065,-9772,-9561,-10918,-9722,-10386,-11782,-11977,-11067
Depreciation and Amortization,-482500,-500900,-513000,-540000,-519300,-542100,-563,-586,-590,-610,-639,-648,-661,-683,-703,-725,-988,-936,-974,-953,-991,-1122,-1167,-1198,-1242,-1316,-1440,-1524,-1668,-1777,-1863,-1843,-1948,-2015,-2057,-2122,-2175,-2308,-3011,-3637,-3580,-3893,-4145,-4070,-4054,-4199,-4254,-4363,-4550,-4730,-5153,-5134,-5474
"Share of Profit/loss of Joint Ventures and Associates, Net",,,,,,,,,,,,53,54,46,8,55,41,59,62,51,5,-9,125,-112,,,,,-36,-50,-11,-697,-561,-506,-472,-530,-430,-283,-556,-401,,-242,-241,,,,,,,,,,
"Share of Loss of Joint Ventures and Associates, Net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-332,,,-27,,,,,,,,,
Finance Costs,-3800,-3400,-2600,-7300,-5800,-50300,-48,,-44,-29,-15,-205,-57,-65,-88,-50,-161,-138,-147,-169,-176,-188,-186,-159,-166,-138,-177,-168,-125,-65,-48,-339,-199,-225,-147,-105,-199,-300,-1203,-2488,-2330,-2477,-2667,-2270,-2360,-2256,-2234,-2124,-2767,-2722,-2099,-2315,-2132
Other Income,224800,117300,122900,172400,166300,150400,98,169,199,227,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptional Items,,,,,,,,1051,,-1078,,2684,,,,,,,,,,1888,58,,,675,,,,,,126,,-701,,-410,,-170,-2714,-30,,-240,212,,,,181,204,-172,,-2934,-804,-135
"Exceptional Items, Net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,
Exceptional Items (net)-refer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,
Items -net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,-119,,,
Earnings before Taxes,1258900,1371600,1365500,1380600,1380600,1288400,1086,2486,1648,201,1410,4090,2376,2082,2452,1587,1353,1316,1497,1934,1904,4509,2893,2843,3208,3633,3183,2125,2487,2177,2355,3658,1657,2060,2689,3425,1969,2291,-255,4966,1837,2143,8082,3190,11455,984,1559,4868,969,1713,-678,2475,1276
Taxes and Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,-297100,-318900,-261600,-191500,-308900,-218200,-111,-318,-376,-282,-218,-660,-552,-417,-544,-103,-376,-425,-361,-407,-521,-732,-461,-409,-852,-1001,-848,-450,-809,-223,-489,-694,-573,-463,-493,-586,-488,-1071,-590,-724,-434,-523,-827,-1359,-2253,-542,-1136,-213,-667,-593,-670,-2506,-1158
Provision for Income Tax,,,,,,,,,,,,-52,,,,,,,,,,,,,,,,,,,,,,,,,193,-660,638,-97,86,107,278,398,-584,-243,388,-61,590,46,830,2017,1250
Provision for Income Tax,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,258,,,,,,,,72,,,,162,,,
Share of Profits of Joint Ventures,,,,,,,,,38,100,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest (After Tax),-26800,-31200,-54000,-58300,-42600,-49700,-66,-153,-71,-125,-177,-214,-158,-198,-195,-209,-164,-203,-217,-223,-186,-230,-260,-297,-214,-381,-275,-357,-184,-261,-180,-432,-240,-214,-325,-453,-230,-349,-211,-1013,-475,-471,-933,-874,-2021,-431,-560,-1149,-578,-483,1956,-727,43
Earnings of Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,-79,-94,-32,-84,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income (Loss),935000,1021500,1049900,1130800,1029100,1020500,909,2015,1239,-106,1041,3330,1666,1467,1713,1275,813,688,919,1304,1197,3547,2172,2137,2063,2157,2028,1234,1494,1693,1686,2532,844,1383,1871,2386,1444,469,-418,3132,1014,1256,6600,1355,6597,-160,251,3445,314,845,1438,1259,1411
Supplementary Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),1037900,1257700,1245200,1215500,1220100,1188300,1036,1266,1493,1081,1209,,,,,,,,,,,,,,,,,,,,,4229,,,,4365,,,,,,,,,,,,,,,,,
Basic EPS - Continuing Operations,4.77,5.21,5.35,5.76,5.24,5.2,4.63,10.08,6.31,-0.54,5.3,16.97,2.83,2.49,2.91,2.16,1.38,1.17,1.56,2.21,1.02,3,1.84,1.81,1.81,1.9,1.74,1.11,1.26,1.43,1.42,2.13,0.71,1.16,1.57,2,1.21,0.39,-0.35,2.62,0.85,1.05,5.52,1.13,5.51,-0.13,0.21,2.88,0.26,0.66,1.08,0.79,0.87
Basic EPS - Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,-0.08,-0.03,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Earnings Per Share – Total,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.82,1.71,1.04,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS - Continuing Operations,4.73,5.17,5.31,5.69,5.2,5.12,4.56,10.08,6.3,-0.54,5.3,16.95,2.82,2.47,2.88,2.14,1.37,1.16,1.55,2.19,1.01,2.98,1.82,1.79,1.81,1.9,1.74,1.11,1.25,1.41,1.4,2.12,0.71,1.16,1.56,1.99,1.21,0.39,-0.35,2.62,0.85,1.05,5.51,1.13,5.51,-0.13,0.21,2.87,0.26,0.65,1.07,0.79,0.87
Diluted EPS - Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,-0.08,-0.03,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Earnings Per Share – Total,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.82,1.71,1.04,,,,,,,,,,,,,,,,,,,,,,,,,
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
