Gravedad,,,Probabilidad
Impactos positivos y negativos,,Impactos negativos,Impactos potenciales
Magnitud del impacto,Alcance del impacto,Irremediabilidad del impacto,Posibilidad de ocurrencia
Impacto leve sobre el medioambiente y/o sociedad.,Impacto mínimo sobre el medioambiente y/o sociedad.,No se necesitan medidas correctivas para restablecer la situación anterior.,Es improbable que se materialice el impacto.
Impacto moderado sobre el medioambiente y/o sociedad.,Impacto limitado sobre el medioambiente y/o sociedad.,Fácil de restaurar una situación equivalente a la anterior.,Es posible que se materialice el impacto.
Impacto medio sobre el medioambiente y/o sociedad.,Impacto medio sobre el medioambiente y/o sociedad.,No es fácil restaurar una situación equivalente a la anterior.,Es probable que se materialice el impacto.
Impacto importante sobre el medioambiente y/o sociedad.,Impacto generalizado sobre el medioambiente y/o sociedad.,Dificultad para restaurar una situación equivalente a la anterior.,Es muy probable que se materialice el impacto.
Impacto muy importante sobre el medioambiente y/o sociedad,Impacto global sobre el medioambiente y/o sociedad.,Muy difícil o imposible de restaurar una situación equivalente a la anterior.,Es cierto que se materializará el impacto.
