,,,,Thousands of euros,
,2018,,,2017,
,Fixed,Variable,,Fixed,Variable
,,,,Fixed,
Mr Juan López-Belmonte Encina,312,528,,303,153
,,,,303,
Mr Javier López-Belmonte Encina,229,392,,221,115
,,,,221,
Mr Iván López-Belmonte Encina,229,393,,223,115
,,,,223,
,770,"1,313",,747,383
,,,,747,
