,30 June 2025,31 December 2024
Raw materials and other consumables Work in progress and semi-finished goods Finished goods produced internally Commercial inventories,"104,597 106,187 132,694 128,415 67,173 72,825 23,205 22,527",
,"327,669 329,954",
