,,Ejercicio finalizado a 31 de diciembre de,
,Nota,2025,2024
,,,73.859 (44.619) 66.655 (44.228)
Resultado del ejercicio antes de impuestos,,47.972 (31.626) 73.113 (44.942),
Ajustes del resultado,,,
Cambios en el capital corriente,,,
Otros flujos de efectivo de las actividades de explotación,,,
Flujos de efectivo generados / (utilizados) de las actividades de explotación,25,44.517,51.667
,,,(32.034) 3.982
Pagos por inversiones,,(52.085) 2.539,
Cobros por desinversiones,,,
Flujos de efectivo generados / (utilizados) de las actividades de inversión,26,(49.546),(28.052)
,,,— 84.157 (56.451) (47.787)
Cobros y pagos por instrumentos de patrimonio:,,36.341 89.170 (47.830) (9),
Cobros y pagos por instrumentos de pasivo financiero,,,
Pagos por dividendos y remuneraciones de otros instrumentos de patrimonio,,,
Transacciones con acciones propias,,,
Flujos de efectivo generados / (utilizados) de las actividades de financiación,27,77.672,(20.081)
,,,
AUMENTO / DISMINUCIÓN NETA DEL EFECTIVO O EQUIVALENTES,,72.643,3.534
Efectivo o equivalentes al inicio del ejercicio,13 13,16.557,13.023 16.557
Efectivo o equivalentes al final del ejercicio,,89.200,
