Entidad concesionaria,Miles de euros,Finalidad,Fecha de concesión
(1) Junta de Andalucía,859 362,Construcción planta Granada (Nota 6.d),2008
(2) Junta de Andalucía,,Construcción líneas Bemiparina en Granada,2012 y 2014
Organismos oficiales varios,151,Proyectos varios,2001 en adelante
,1.372,,
