,,A 31 de diciembre de,
,Nota,2023,2022
Resultado del ejercicio,,170.299,199.665
Partidas que pueden reclasificarse con posterioridad al resultado,11,,
,,(13),19
Cambios en el valor de valores de renta variable,,7,(4)
Diferencias de conversión Efecto impositivo,,(18) (2),22 1
,,,
"Otro resultado global del ejercicio, neto de impuestos",,(13),19
Resultado global total del ejercicio,,170.286,199.684
,,,
Atribuible a: - Propietarios de la sociedad dominante - Participaciones no dominantes,,,
,,170.322,199.688
,,(36),(4)
