,,,
Q1 2025,Q1 2024,,
154.9,151.2,,
90.6,85.6,,
30.3,25.9,,
23.0,19.3,,
18.1,15.0,,
,,,
8.3,9.0,,
10.7,6.6,,
,,,
58.5 %,,,
19.6 %,,,
14.9 %,,,
11.7 %,,,
5.3 %,,,
6.9 %,,,
,,,
"As of Mar 31, 2025","As of Dec 31, 2024",,
(77.1),(85.1),7.9,-9 %
