Numero de beneficiarios,3
Tipo de beneficiario,Descripción del acuerdo
"DON JUAN LÓPEZ-BELMONTE ENCINA, DON IVÁN LÓPEZ-BELMONTE ENCINA Y DON JAVIER LÓPEZ-BELMONTE ENCINA","-D. Juan López-Belmonte Encina:La Sociedad tiene suscrito un contrato de arrendamiento de servicios con el consejero delegado. En particular, respecto a las causas de extinción del contrato y sus consecuencias, se prevé una indemnización en favor del consejero en caso de terminación de la relación contractual de una cantidad bruta equivalente a dos años de la retribución fija que viniera percibiendo el consejero en el momento de la extinción del contrato, con excepción de los supuestos de (i) renuncia al cargo del consejero por supuestos distintos a los contemplados contractualmente o (ii) revocación por la Sociedad por incumplimiento del consejero de sus deberes legales, contractuales o establecidos por normativa interna o concurrencia de causa de extinción procedente de conformidad con la legislación laboral (salvo el desistimiento empresarial). -D. Iván López-Belmonte Encina y D. Javier López-Belmonte Encina: La Sociedad tiene suscritos sendos contratos laborales con estos consejeros ejecutivos. En particular, respecto a las causas de extinción del contrato y sus consecuencias, los contratos laborales se remiten a lo previsto en el Estatuto de los Trabajadores."
