,Thousand euros,
,2021,2020
Legal reserves and reserves required by the Bylaws,,
- Legal reserve,673,673
,673,673
Other reserves:,,
- Non-distributable special reserve,"5,036","5,036"
- Voluntary reserves,472,472
- Revaluation reserve Royal Decree-Law 7/96,851,851
,6.359,6.359
,7.032,7.032
