,Fabricación,Comercialización,Otros,TOTAL
Total ingresos segmento,644.407 420.232 (235.130) —,,— —,1.064.639 (235.130)
Ingresos inter-segmentos,,,,
Ingresos de clientes externos,409.277 420.232,,—,829.509
