,2025 2024
Saldo inicio del ejercicio,86.264 2.196.011
Acciones adquiridas en contrato de liquidez (c.1) Acciones vendidas en contrato de liquidez (c.1) Acciones adquiridas en Programas de recompra (c.2) Acciones para reducción de capital en Programas de recompra (c.2),980.653 550.137 (980.653) (564.563) — 685.074 — (2.780.395)
Saldo final del ejercicio,86.264 86.264
