,Número de consejeras,,,,% sobre el total de consejeros de cada tipología,,,
,Ejercicio 2016,Ejercicio 2015,Ejercicio 2014,Ejercicio 2013,Ejercicio 2016,Ejercicio 2015,Ejercicio 2014,Ejercicio 2013
Ejecutiva,0,0,0,0,"0,00%","0,00%","0,00%","0,00%"
Dominical,0,0,0,0,"0,00%","0,00%","0,00%","0,00%"
Independiente,0,0,0,0,"0,00%","0,00%","0,00%","0,00%"
Otras Externas,0,0,0,0,"0,00%","0,00%","0,00%","0,00%"
Total:,0,0,0,0,"0,00%","0,00%","0,00%","0,00%"
