Activos por impuestos diferidos,Provisiones,,Otros Total
Al 1 de enero de 2024,394,,841 1.235
Cargo / (abono) a resultados Impuesto cargado a patrimonio neto,,(32),42 10 — —
,,—,
Al 31 de diciembre de 2024,362,,883 1.245
Cargo / (abono) a resultados,,2,82 84
Al 31 de diciembre de 2025,364,,965 1.329
