,2019,,,,2018,,,
,Days off,Days Worked,Absence rate,Sector absence rate,Days off,Days Worked,Absence rate,Sector absence rate
TOTALS,"12,000 476,347 2.52% 3.43%",,,,"10,036 443,803 2.26% 3.44%",,,
